DATE,CCUSMA02NZM618N_NBD19600101
1983-01-01,189.91249
1983-02-01,192.38191
1983-03-01,207.05202
1983-04-01,209.95260
1983-05-01,208.03545
1983-06-01,211.36626
1983-07-01,211.96375
1983-08-01,212.94252
1983-09-01,212.20227
1983-10-01,209.32758
1983-11-01,210.34957
1983-12-01,213.11796
1984-01-01,213.75333
1984-02-01,211.12646
1984-03-01,207.40041
1984-04-01,210.41906
1984-05-01,213.44589
1984-06-01,215.93550
1984-07-01,252.41540
1984-08-01,278.11287
1984-09-01,282.96795
1984-10-01,285.03994
1984-11-01,281.15703
1984-12-01,287.12515
1985-01-01,294.53887
1985-02-01,305.67209
1985-03-01,306.58056
1985-04-01,304.41179
1985-05-01,306.72117
1985-06-01,302.65596
1985-07-01,279.40856
1985-08-01,258.82794
1985-09-01,260.30536
1985-10-01,242.98991
1985-11-01,243.29448
1985-12-01,263.55384
1986-01-01,268.48332
1986-02-01,261.35109
1986-03-01,262.63168
1986-04-01,247.43817
1986-05-01,244.70094
1986-06-01,254.64582
1986-07-01,260.91261
1986-08-01,276.56178
1986-09-01,289.87002
1986-10-01,274.85525
1986-11-01,269.50424
1986-12-01,270.45150
1987-01-01,259.14597
1987-02-01,253.85684
1987-03-01,245.99421
1987-04-01,239.92731
1987-05-01,240.54654
1987-06-01,236.41128
1987-07-01,232.87331
1987-08-01,235.56126
1987-09-01,219.33318
1987-10-01,217.15596
1987-11-01,224.18758
1987-12-01,214.34556
1988-01-01,211.19452
1988-02-01,209.04484
1988-03-01,209.04556
1988-04-01,209.73216
1988-05-01,201.32658
1988-06-01,198.15768
1988-07-01,206.94366
1988-08-01,214.20208
1988-09-01,225.95580
1988-10-01,223.56576
1988-11-01,216.23125
1988-12-01,217.92474
1989-01-01,222.03258
1989-02-01,224.98865
1989-03-01,225.36990
1989-04-01,227.06006
1989-05-01,228.54296
1989-06-01,241.25409
1989-07-01,240.97551
1989-08-01,234.19544
1989-09-01,234.45438
1989-10-01,236.23488
1989-11-01,235.97970
1989-12-01,233.21321
1990-01-01,230.45085
1990-02-01,234.25807
1990-03-01,237.09672
1990-04-01,239.29152
1990-05-01,241.61130
1990-06-01,237.93396
1990-07-01,234.24456
1990-08-01,226.24100
1990-09-01,223.13068
1990-10-01,226.90395
1990-11-01,227.11311
1990-12-01,232.46795
1991-01-01,232.84548
1991-02-01,230.27073
1991-03-01,233.34973
1991-04-01,235.31445
1991-05-01,236.36088
1991-06-01,240.35596
1991-07-01,244.47717
1991-08-01,241.49136
1991-09-01,239.09955
1991-10-01,246.13613
1991-11-01,245.67474
1991-12-01,250.69506
