DATE,CCUSMA02FRM618N_NBD19600101
2014-03-01,96.60926
2014-04-01,96.73274
2014-05-01,97.26966
2014-06-01,98.26720
2014-07-01,98.70562
2014-08-01,100.31715
2014-09-01,103.55937
2014-10-01,105.41027
2014-11-01,107.05661
2014-12-01,108.50316
2015-01-01,114.87640
2015-02-01,117.63646
2015-03-01,123.50246
2015-04-01,123.53088
2015-05-01,119.71437
2015-06-01,119.10527
2015-07-01,121.40638
2015-08-01,120.01463
2015-09-01,119.08802
2015-10-01,118.94040
2015-11-01,124.61091
2015-12-01,122.69804
2016-01-01,123.14101
2016-02-01,120.46051
2016-03-01,120.03572
2016-04-01,117.80406
2016-05-01,118.17686
2016-06-01,118.93475
2016-07-01,120.80906
2016-08-01,119.19775
2016-09-01,119.15348
2016-10-01,121.25870
2016-11-01,123.92965
2016-12-01,126.75926
2017-01-01,125.67661
2017-02-01,125.49182
2017-03-01,124.95122
2017-04-01,124.68779
2017-05-01,120.83054
2017-06-01,118.89826
2017-07-01,115.98027
2017-08-01,113.10553
2017-09-01,112.14891
2017-10-01,113.64529
2017-11-01,113.78671
2017-12-01,112.92553
2018-01-01,109.53595
2018-02-01,108.24866
2018-03-01,108.34793
2018-04-01,108.87144
2018-05-01,113.17099
2018-06-01,114.40357
2018-07-01,114.32734
2018-08-01,115.67265
2018-09-01,114.49717
2018-10-01,116.32830
2018-11-01,117.55487
2018-12-01,117.39368
2019-01-01,116.99034
2019-02-01,117.74466
2019-03-01,118.25815
2019-04-01,118.89692
2019-05-01,119.41771
2019-06-01,118.27549
2019-07-01,119.12433
2019-08-01,120.08359
2019-09-01,121.35736
2019-10-01,120.85389
2019-11-01,120.90360
2019-12-01,120.22775
2020-01-01,120.33096
2020-02-01,122.49681
2020-03-01,121.01466
2020-04-01,122.87421
2020-05-01,122.49328
2020-06-01,118.64686
2020-07-01,116.44029
2020-08-01,112.93290
2020-09-01,113.36371
2020-10-01,113.49955
2020-11-01,112.90148
2020-12-01,109.79906
2021-01-01,109.77599
2021-02-01,110.44665
2021-03-01,112.27953
2021-04-01,111.68743
2021-05-01,109.93866
2021-06-01,110.88327
2021-07-01,112.97696
2021-08-01,113.52858
2021-09-01,113.50350
2021-10-01,115.15766
2021-11-01,117.12701
2021-12-01,118.20806
2022-01-01,118.01368
2022-02-01,117.76270
2022-03-01,121.21029
2022-04-01,123.68868
2022-05-01,126.28998
2022-06-01,126.44616
2022-07-01,131.22023
2022-08-01,131.86538
2022-09-01,134.98569
2022-10-01,135.76600
2022-11-01,130.93286
2022-12-01,126.18560
2023-01-01,124.04357
2023-02-01,124.80489
2023-03-01,124.72928
2023-04-01,121.84321
2023-05-01,123.05584
2023-06-01,123.22981
2023-07-01,120.84081
2023-08-01,122.46333
2023-09-01,125.14464
2023-10-01,126.51660
2023-11-01,123.52590
2023-12-01,122.41293
