DATE,CCUSMA02HUM618N_NBD19680101
2008-02-01,296.60349
2008-03-01,278.96889
2008-04-01,268.35962
2008-05-01,265.39212
2008-06-01,259.99595
2008-07-01,245.18457
2008-08-01,262.69921
2008-09-01,279.58644
2008-10-01,328.02167
2008-11-01,346.40383
2008-12-01,328.15000
2009-01-01,355.80250
2009-02-01,387.88417
2009-03-01,387.80606
2009-04-01,370.12424
2009-05-01,343.36667
2009-06-01,332.94174
2009-07-01,321.60362
2009-08-01,314.75159
2009-09-01,310.47652
2009-10-01,301.75379
2009-11-01,302.46349
2009-12-01,312.26884
2010-01-01,314.03175
2010-02-01,330.04083
2010-03-01,325.56522
2010-04-01,330.18333
2010-05-01,366.50794
2010-06-01,383.73333
2010-07-01,369.08030
2010-08-01,362.89015
2010-09-01,358.29318
2010-10-01,328.62381
2010-11-01,336.77879
2010-12-01,349.55507
2011-01-01,343.24524
2011-02-01,330.25583
2011-03-01,321.84928
2011-04-01,305.39286
2011-05-01,310.75303
2011-06-01,308.14848
2011-07-01,312.11508
2011-08-01,316.14638
2011-09-01,344.81818
2011-10-01,360.29127
2011-11-01,379.17197
2011-12-01,385.94848
2012-01-01,396.33788
2012-02-01,365.45079
2012-03-01,368.55682
2012-04-01,372.95476
2012-05-01,382.43841
2012-06-01,389.39841
2012-07-01,388.19545
2012-08-01,374.33841
2012-09-01,367.22417
2012-10-01,361.83406
2012-11-01,366.43106
2012-12-01,363.29603
2013-01-01,367.46377
2013-02-01,365.25083
2013-03-01,389.74048
2013-04-01,381.99621
2013-05-01,375.51190
2013-06-01,373.72417
2013-07-01,375.75507
2013-08-01,374.75152
2013-09-01,374.16667
2013-10-01,360.49638
2013-11-01,367.37063
2013-12-01,365.40682
2014-01-01,369.47754
2014-02-01,378.40417
2014-03-01,375.76667
2014-04-01,370.80833
2014-05-01,369.55985
2014-06-01,375.10238
2014-07-01,381.17826
2014-08-01,392.65873
2014-09-01,404.36515
2014-10-01,404.33913
2014-11-01,410.31250
2014-12-01,420.41014
2015-01-01,452.36667
2015-02-01,450.50583
2015-03-01,466.92652
2015-04-01,463.06515
2015-05-01,456.96905
2015-06-01,463.94697
2015-07-01,471.75290
2015-08-01,466.30397
2015-09-01,464.42045
2015-10-01,461.40606
2015-11-01,484.75952
2015-12-01,481.45652
2016-01-01,482.67063
2016-02-01,465.82540
2016-03-01,467.06377
2016-04-01,457.90079
2016-05-01,463.40530
2016-06-01,465.59773
2016-07-01,473.73810
2016-08-01,461.51667
2016-09-01,459.01591
2016-10-01,463.96429
2016-11-01,476.68939
2016-12-01,493.03182
2017-01-01,484.95833
2017-02-01,483.22250
2017-03-01,483.32899
2017-04-01,484.55917
2017-05-01,467.88043
2017-06-01,457.55152
2017-07-01,444.39603
2017-08-01,429.28478
2017-09-01,431.24524
2017-10-01,439.29924
2017-11-01,442.85909
2017-12-01,440.94365
2018-01-01,423.06232
2018-02-01,420.32333
2018-03-01,422.03106
