DATE,CCUSMA02ESM618N_NBD19600101
2010-11-01,202.66603
2010-12-01,209.11198
2011-01-01,206.79835
2011-02-01,202.33320
2011-03-01,197.17027
2011-04-01,191.13249
2011-05-01,192.99493
2011-06-01,191.81431
2011-07-01,193.43513
2011-08-01,192.77323
2011-09-01,200.88253
2011-10-01,201.39569
2011-11-01,203.68338
2011-12-01,210.17683
2012-01-01,214.14575
2012-02-01,208.75099
2012-03-01,209.20972
2012-04-01,209.98784
2012-05-01,216.01990
2012-06-01,220.42210
2012-07-01,224.94724
2012-08-01,222.75964
2012-09-01,214.73983
2012-10-01,212.93236
2012-11-01,215.31382
2012-12-01,210.48784
2013-01-01,207.79046
2013-02-01,207.11348
2013-03-01,213.32996
2013-04-01,212.14873
2013-05-01,212.96154
2013-06-01,209.61028
2013-07-01,211.28371
2013-08-01,207.53223
2013-09-01,206.99361
2013-10-01,202.54200
2013-11-01,204.85031
2013-12-01,201.63198
2014-01-01,202.83982
2014-02-01,202.19393
2014-03-01,199.82279
2014-04-01,200.07820
2014-05-01,201.18874
2014-06-01,203.25202
2014-07-01,204.15881
2014-08-01,207.49204
2014-09-01,214.19813
2014-10-01,218.02645
2014-11-01,221.43168
2014-12-01,224.42367
2015-01-01,237.60583
2015-02-01,243.31462
2015-03-01,255.44762
2015-04-01,255.50640
2015-05-01,247.61249
2015-06-01,246.35265
2015-07-01,251.11218
2015-08-01,248.23355
2015-09-01,246.31698
2015-10-01,246.01165
2015-11-01,257.74030
2015-12-01,253.78380
2016-01-01,254.70002
2016-02-01,249.15579
2016-03-01,248.27716
2016-04-01,243.66129
2016-05-01,244.43237
2016-06-01,245.99997
2016-07-01,249.87671
2016-08-01,246.54393
2016-09-01,246.45237
2016-10-01,250.80672
2016-11-01,256.33121
2016-12-01,262.18386
2017-01-01,259.94456
2017-02-01,259.56234
2017-03-01,258.44419
2017-04-01,257.89932
2017-05-01,249.92113
2017-06-01,245.92448
2017-07-01,239.88903
2017-08-01,233.94303
2017-09-01,231.96439
2017-10-01,235.05944
2017-11-01,235.35196
2017-12-01,233.57071
2018-01-01,226.55984
2018-02-01,223.89726
2018-03-01,224.10259
2018-04-01,225.18541
2018-05-01,234.07843
2018-06-01,236.62783
2018-07-01,236.47017
2018-08-01,239.25277
2018-09-01,236.82144
2018-10-01,240.60888
2018-11-01,243.14586
2018-12-01,242.81247
2019-01-01,241.97821
2019-02-01,243.53843
2019-03-01,244.60050
2019-04-01,245.92172
2019-05-01,246.99890
2019-06-01,244.63638
2019-07-01,246.39208
2019-08-01,248.37617
2019-09-01,251.01080
2019-10-01,249.96942
2019-11-01,250.07224
2019-12-01,248.67434
2020-01-01,248.88782
2020-02-01,253.36758
2020-03-01,250.30197
2020-04-01,254.14818
2020-05-01,253.36028
2020-06-01,245.40450
2020-07-01,240.84051
2020-08-01,233.58598
2020-09-01,234.47704
2020-10-01,234.75800
2020-11-01,233.52098
2020-12-01,227.10406
2021-01-01,227.05634
2021-02-01,228.44350
2021-03-01,232.23455
2021-04-01,231.00989
2021-05-01,227.39279
2021-06-01,229.34658
2021-07-01,233.67710
2021-08-01,234.81804
2021-09-01,234.76617
2021-10-01,238.18758
2021-11-01,242.26089
2021-12-01,244.49690
2022-01-01,244.09484
2022-02-01,243.57573
2022-03-01,250.70659
2022-04-01,255.83279
2022-05-01,261.21323
2022-06-01,261.53627
2022-07-01,271.41076
2022-08-01,272.74516
2022-09-01,279.19909
2022-10-01,280.81304
2022-11-01,270.81638
2022-12-01,260.99733
2023-01-01,256.56683
2023-02-01,258.14151
2023-03-01,257.98514
2023-04-01,252.01570
2023-05-01,254.52385
2023-06-01,254.88369
2023-07-01,249.94237
2023-08-01,253.29832
2023-09-01,258.84425
2023-10-01,261.68197
2023-11-01,255.49610
2023-12-01,253.19410
