DATE,CCUSMA02FIM618N_NBD19600101
1998-05-01,168.28125
1998-06-01,170.04688
1998-07-01,171.52500
1998-08-01,169.87813
1998-09-01,161.92188
1998-10-01,155.70000
1998-11-01,159.68125
1998-12-01,158.59375
1999-01-01,160.07503
1999-02-01,165.80778
1999-03-01,170.69622
1999-04-01,173.60438
1999-05-01,174.82535
1999-06-01,179.04799
1999-07-01,179.52857
1999-08-01,175.31868
1999-09-01,176.69588
1999-10-01,173.53372
1999-11-01,179.91241
1999-12-01,183.61958
2000-01-01,183.31422
2000-02-01,188.74557
2000-03-01,192.54296
2000-04-01,196.48901
2000-05-01,204.73904
2000-06-01,195.64865
2000-07-01,197.95768
2000-08-01,205.48780
2000-09-01,213.37691
2000-10-01,217.69591
2000-11-01,216.98540
2000-12-01,206.39993
2001-01-01,197.90175
2001-02-01,201.66828
2001-03-01,204.57286
2001-04-01,207.89151
2001-05-01,212.46540
2001-06-01,217.55453
2001-07-01,215.70604
2001-08-01,205.98120
2001-09-01,203.60992
2001-10-01,205.09958
2001-11-01,209.16392
2001-12-01,208.08011
2002-01-01,210.49944
2002-02-01,213.40074
2002-03-01,211.95829
2002-04-01,209.52856
2002-05-01,202.36298
2002-06-01,194.24522
2002-07-01,187.35540
2002-08-01,189.97848
2002-09-01,189.32144
2002-10-01,189.25215
2002-11-01,185.50519
2002-12-01,182.39467
2003-01-01,174.73189
2003-02-01,172.35099
2003-03-01,172.15321
2003-04-01,170.92807
2003-05-01,160.58747
2003-06-01,159.21105
2003-07-01,163.44489
2003-08-01,166.65288
2003-09-01,165.09052
2003-10-01,158.80405
2003-11-01,158.56851
2003-12-01,151.07952
2004-01-01,147.29661
2004-02-01,147.05031
2004-03-01,151.52939
2004-04-01,154.87116
2004-05-01,154.66730
2004-06-01,152.94977
2004-07-01,151.51392
2004-08-01,152.41231
2004-09-01,151.96856
2004-10-01,148.84331
2004-11-01,142.95180
2004-12-01,138.50534
2005-01-01,141.73314
2005-02-01,142.63274
2005-03-01,140.99062
2005-04-01,143.56701
2005-05-01,146.50876
2005-06-01,152.83829
2005-07-01,154.20550
2005-08-01,151.13176
2005-09-01,151.74497
2005-10-01,154.45514
2005-11-01,157.54403
2005-12-01,156.66673
2006-01-01,153.33120
2006-02-01,155.62203
2006-03-01,154.43797
2006-04-01,151.28081
2006-05-01,145.46706
2006-06-01,146.73913
2006-07-01,146.38241
2006-08-01,145.03879
2006-09-01,145.92093
2006-10-01,147.20881
2006-11-01,144.14779
2006-12-01,140.77804
2007-01-01,142.92142
2007-02-01,141.98502
2007-03-01,140.23709
2007-04-01,137.53152
2007-05-01,137.52450
2007-06-01,138.43036
2007-07-01,135.44521
2007-08-01,136.41700
2007-09-01,133.56517
2007-10-01,130.57913
2007-11-01,126.48424
2007-12-01,127.60526
2008-01-01,126.28474
2008-02-01,126.09205
2008-03-01,119.67595
2008-04-01,118.00285
2008-05-01,119.38756
2008-06-01,119.45432
2008-07-01,117.91287
2008-08-01,124.30292
2008-09-01,129.51388
2008-10-01,139.97509
2008-11-01,146.06057
2008-12-01,138.37758
2009-01-01,140.89522
2009-02-01,145.04794
2009-03-01,142.48638
2009-04-01,140.72969
2009-05-01,135.99973
2009-06-01,132.58387
2009-07-01,131.88857
2009-08-01,130.24865
2009-09-01,127.54604
2009-10-01,125.41774
2009-11-01,124.53208
2009-12-01,127.52621
2010-01-01,130.08939
2010-02-01,135.79490
2010-03-01,136.93759
2010-04-01,138.71118
2010-05-01,147.79386
2010-06-01,152.16508
2010-07-01,145.30722
2010-08-01,144.07416
2010-09-01,141.93741
2010-10-01,133.77893
2010-11-01,136.27883
2010-12-01,140.61328
2011-01-01,139.05753
2011-02-01,136.05502
2011-03-01,132.58332
2011-04-01,128.52332
2011-05-01,129.77569
2011-06-01,128.98180
2011-07-01,130.07169
2011-08-01,129.62661
2011-09-01,135.07955
2011-10-01,135.42462
2011-11-01,136.96293
2011-12-01,141.32933
2012-01-01,143.99815
2012-02-01,140.37055
2012-03-01,140.67901
2012-04-01,141.20224
2012-05-01,145.25838
2012-06-01,148.21856
2012-07-01,151.26140
2012-08-01,149.79039
2012-09-01,144.39763
2012-10-01,143.18223
2012-11-01,144.78359
2012-12-01,141.53846
2013-01-01,139.72466
2013-02-01,139.26944
2013-03-01,143.44958
2013-04-01,142.65529
2013-05-01,143.20185
2013-06-01,140.94836
2013-07-01,142.07362
2013-08-01,139.55101
2013-09-01,139.18883
2013-10-01,136.19543
2013-11-01,137.74761
2013-12-01,135.58350
2014-01-01,136.39569
2014-02-01,135.96138
2014-03-01,134.36695
2014-04-01,134.53869
2014-05-01,135.28546
2014-06-01,136.67287
2014-07-01,137.28262
2014-08-01,139.52399
2014-09-01,144.03337
2014-10-01,146.60765
2014-11-01,148.89743
2014-12-01,150.90933
2015-01-01,159.77342
2015-02-01,163.61218
2015-03-01,171.77079
2015-04-01,171.81031
2015-05-01,166.50221
2015-06-01,165.65505
2015-07-01,168.85550
2015-08-01,166.91982
2015-09-01,165.63106
2015-10-01,165.42575
2015-11-01,173.31246
2015-12-01,170.65198
2016-01-01,171.26808
2016-02-01,167.53997
2016-03-01,166.94915
2016-04-01,163.84530
2016-05-01,164.36379
2016-06-01,165.41789
2016-07-01,168.02474
2016-08-01,165.78367
2016-09-01,165.72211
2016-10-01,168.65010
2016-11-01,172.36494
2016-12-01,176.30044
2017-01-01,174.79467
2017-02-01,174.53765
2017-03-01,173.78577
2017-04-01,173.41939
2017-05-01,168.05460
2017-06-01,165.36714
2017-07-01,161.30872
2017-08-01,157.31044
2017-09-01,155.97994
2017-10-01,158.06115
2017-11-01,158.25785
2017-12-01,157.06009
2018-01-01,152.34576
2018-02-01,150.55536
2018-03-01,150.69343
2018-04-01,151.42155
2018-05-01,157.40149
2018-06-01,159.11579
2018-07-01,159.00977
2018-08-01,160.88087
2018-09-01,159.24597
2018-10-01,161.79277
2018-11-01,163.49871
2018-12-01,163.27452
2019-01-01,162.71355
2019-02-01,163.76268
2019-03-01,164.47685
2019-04-01,165.36528
2019-05-01,166.08961
2019-06-01,164.50098
2019-07-01,165.68156
2019-08-01,167.01572
2019-09-01,168.78733
2019-10-01,168.08708
2019-11-01,168.15622
2019-12-01,167.21622
2020-01-01,167.35978
2020-02-01,170.37211
2020-03-01,168.31069
2020-04-01,170.89700
2020-05-01,170.36720
2020-06-01,165.01749
2020-07-01,161.94852
2020-08-01,157.07035
2020-09-01,157.66953
2020-10-01,157.85846
2020-11-01,157.02664
2020-12-01,152.71171
2021-01-01,152.67962
2021-02-01,153.61239
2021-03-01,156.16161
2021-04-01,155.33811
2021-05-01,152.90586
2021-06-01,154.21965
2021-07-01,157.13162
2021-08-01,157.89883
2021-09-01,157.86395
2021-10-01,160.16461
2021-11-01,162.90363
2021-12-01,164.40719
2022-01-01,164.13683
2022-02-01,163.78777
2022-03-01,168.58277
2022-04-01,172.02979
2022-05-01,175.64776
2022-06-01,175.86498
2022-07-01,182.50489
2022-08-01,183.40218
2022-09-01,187.74200
2022-10-01,188.82727
2022-11-01,182.10521
2022-12-01,175.50258
2023-01-01,172.52338
2023-02-01,173.58224
2023-03-01,173.47709
2023-04-01,169.46306
2023-05-01,171.14962
2023-06-01,171.39158
2023-07-01,168.06889
2023-08-01,170.32553
2023-09-01,174.05479
2023-10-01,175.96295
2023-11-01,171.80339
2023-12-01,170.25545
