DATE,CCUSMA02INM618N_NBD19600101
2020-06-01,1590.26515
2020-07-01,1574.86279
2020-08-01,1568.11197
2020-09-01,1543.11810
2020-10-01,1542.62185
2020-11-01,1558.61714
2020-12-01,1545.46810
2021-01-01,1535.29883
2021-02-01,1527.88725
2021-03-01,1528.65033
2021-04-01,1563.91801
2021-05-01,1538.62412
2021-06-01,1544.72498
2021-07-01,1565.06786
2021-08-01,1557.87795
2021-09-01,1544.83314
2021-10-01,1573.22254
2021-11-01,1564.42828
2021-12-01,1582.82454
2022-01-01,1563.27516
2022-02-01,1575.06723
2022-03-01,1601.13550
2022-04-01,1599.52610
2022-05-01,1623.70640
2022-06-01,1639.56776
2022-07-01,1671.63427
2022-08-01,1670.65766
2022-09-01,1684.86433
2022-10-01,1729.14418
2022-11-01,1718.02262
2022-12-01,1731.75022
2023-01-01,1719.89312
2023-02-01,1734.78118
2023-03-01,1728.06170
2023-04-01,1722.43815
2023-05-01,1729.21153
2023-06-01,1726.90853
2023-07-01,1725.19252
2023-08-01,1738.49484
2023-09-01,1743.99840
2023-10-01,1747.94378
2023-11-01,1749.25985
2023-12-01,1749.28831
