DATE,CCUSMA02ATM618N
1984-05-01,1.40541993997224
1984-06-01,1.39644484495251
1984-07-01,1.45182154458842
1984-08-01,1.47395042259253
1984-09-01,1.54360006685901
1984-10-01,1.56665188985705
1984-11-01,1.52628939776022
1984-12-01,1.58166609739613
1985-01-01,1.6165054540962
1985-02-01,1.6769837866907
1985-03-01,1.69275379170512
1985-04-01,1.57394097512409
1985-05-01,1.59073566710028
1985-06-01,1.56531470970836
1985-07-01,1.48767105368342
1985-08-01,1.42486719039556
1985-09-01,1.4497794379483
1985-10-01,1.35082810694534
1985-11-01,1.32472402491225
1985-12-01,1.28487750993801
1986-01-01,1.24827947065108
1986-02-01,1.19152925444939
1986-03-01,1.15684251070107
1986-04-01,1.16038167772505
1986-05-01,1.13775862444859
1986-06-01,1.13961178171988
1986-07-01,1.10030304571848
1986-08-01,1.05488979164698
1986-09-01,1.04300051597712
1986-10-01,1.0265401190381
1986-11-01,1.03603845846384
1986-12-01,1.01973067447657
1987-01-01,0.94987027899101
1987-02-01,0.933446218469074
1987-03-01,0.936716496006628
1987-04-01,0.925146980807104
1987-05-01,0.912283889159393
1987-06-01,0.929412876172758
1987-07-01,0.943525940568156
1987-08-01,0.94923802533375
1987-09-01,0.927261760281389
1987-10-01,0.922748777279565
1987-11-01,0.859617886237945
1987-12-01,0.836733210758486
1988-01-01,0.843884217640604
1988-02-01,0.866790694970313
1988-03-01,0.856674636454147
1988-04-01,0.854603460680363
1988-05-01,0.865024745100034
1988-06-01,0.896048778006294
1988-07-01,0.94231957152097
1988-08-01,0.96484088282959
1988-09-01,0.954441400260169
1988-10-01,0.931055282224952
1988-11-01,0.89322907204058
1988-12-01,0.896593824262552
1989-01-01,0.935168564638852
1989-02-01,0.946665407004208
1989-03-01,0.953620197234072
1989-04-01,0.956861405637958
1989-05-01,0.997093086633286
1989-06-01,1.01296483361555
1989-07-01,0.968481791821399
1989-08-01,0.984847714076001
1989-09-01,0.998793630952814
1989-10-01,0.956534377884203
1989-11-01,0.936680159589544
1989-12-01,0.890300356823616
1990-01-01,0.865555256789459
1990-02-01,0.85829524065609
1990-03-01,0.871783318677645
1990-04-01,0.862517532321243
1990-05-01,0.849836122758951
1990-06-01,0.861500112642893
1990-07-01,0.83837561681068
1990-08-01,0.803470854559857
1990-09-01,0.802453434881507
1990-10-01,0.779365275466378
1990-11-01,0.758973278198876
1990-12-01,0.762686860024854
1991-01-01,0.7723
1991-02-01,0.756
1991-03-01,0.818
1991-04-01,0.8708
1991-05-01,0.877
1991-06-01,0.9126
1991-07-01,0.9145
1991-08-01,0.8928
1991-09-01,0.8684
1991-10-01,0.8646
1991-11-01,0.8286
1991-12-01,0.8015
1992-01-01,0.8078
1992-02-01,0.8283
1992-03-01,0.8497
1992-04-01,0.8431
1992-05-01,0.8289
1992-06-01,0.8051
1992-07-01,0.7627
1992-08-01,0.742
1992-09-01,0.7405
1992-10-01,0.7563
1992-11-01,0.8114
1992-12-01,0.8091
1993-01-01,0.8258
1993-02-01,0.8398
1993-03-01,0.8424
1993-04-01,0.816
1993-05-01,0.8213
1993-06-01,0.8442
1993-07-01,0.8772
1993-08-01,0.8675
1993-09-01,0.8299
1993-10-01,0.8372
1993-11-01,0.8695
1993-12-01,0.8739
1994-01-01,0.8906
1994-02-01,0.888
1994-03-01,0.8654
1994-04-01,0.8683
1994-05-01,0.8474
1994-06-01,0.833
1994-07-01,0.8029
1994-08-01,0.8003
1994-09-01,0.7939
1994-10-01,0.7777
1994-11-01,0.7873
1994-12-01,0.8039
1995-01-01,0.7831
1995-02-01,0.7681
1995-03-01,0.7197
1995-04-01,0.7057
1995-05-01,0.7205
1995-06-01,0.7151
1995-07-01,0.7096
1995-08-01,0.7393
1995-09-01,0.7474
1995-10-01,0.7235
1995-11-01,0.7247
1995-12-01,0.7365
1996-01-01,0.7464
1996-02-01,0.7495
1996-03-01,0.7547
1996-04-01,0.7672
1996-05-01,0.784
1996-06-01,0.7804
1996-07-01,0.7688
1996-08-01,0.7577
1996-09-01,0.7697
1996-10-01,0.781
1996-11-01,0.7727
1996-12-01,0.7934
1997-01-01,0.8198
1997-02-01,0.8563
1997-03-01,0.8668
1997-04-01,0.8748
1997-05-01,0.8715
1997-06-01,0.883
1997-07-01,0.916
1997-08-01,0.941
1997-09-01,0.9144
1997-10-01,0.898
1997-11-01,0.8861
1997-12-01,0.9091
1998-01-01,0.9283
1998-02-01,0.9273
1998-03-01,0.933
1998-04-01,0.9279
1998-05-01,0.9065
1998-06-01,0.9156
1998-07-01,0.9193
1998-08-01,0.9143
1998-09-01,0.8705
1998-10-01,0.8372
1998-11-01,0.8594
1998-12-01,0.8533
1999-01-01,0.86152598295
1999-02-01,0.8923797552
1999-03-01,0.918689368086957
1999-04-01,0.93434114647619
1999-05-01,0.94091239447619
1999-06-01,0.963638731772727
1999-07-01,0.966225199954545
1999-08-01,0.9435675375
1999-09-01,0.950979647636364
1999-10-01,0.933960847809524
1999-11-01,0.96829107195
1999-12-01,0.98824309352381
2000-01-01,0.98659965515
2000-02-01,1.01583126038095
2000-03-01,1.03626881430435
2000-04-01,1.057506551
2000-05-01,1.10190830559091
2000-06-01,1.05298371918182
2000-07-01,1.06541093333333
2000-08-01,1.10593816330435
2000-09-01,1.14839744757143
2000-10-01,1.171642344
2000-11-01,1.16781840709524
2000-12-01,1.11084724065
2001-01-01,1.06510992013636
2001-02-01,1.0853814393
2001-03-01,1.10101394831818
2001-04-01,1.118874966
2001-05-01,1.143491682
2001-06-01,1.1708814672381
2001-07-01,1.16093285659091
2001-08-01,1.10859362878261
2001-09-01,1.09583135555
2001-10-01,1.10384873391304
2001-11-01,1.12572307731818
2001-12-01,1.11988998488889
2002-01-01,1.13291086557143
2002-02-01,1.1485257019
2002-03-01,1.14076238890476
2002-04-01,1.12768557281818
2002-05-01,1.08912031656522
2002-06-01,1.04543044505
2002-07-01,1.00834930243478
2002-08-01,1.02246676136364
2002-09-01,1.018930549
2002-10-01,1.01855763682609
2002-11-01,0.998391457047619
2002-12-01,0.981650596368421
2003-01-01,0.940409409954545
2003-02-01,0.92759539015
2003-03-01,0.926530916619048
2003-04-01,0.919937204636364
2003-05-01,0.864283957363636
2003-06-01,0.856876061523809
2003-07-01,0.879662635565217
2003-08-01,0.896928097333333
2003-09-01,0.888519456863636
2003-10-01,0.854685546434783
2003-11-01,0.85341789995
2003-12-01,0.813112024333333
2004-01-01,0.792752347666667
2004-02-01,0.79142678405
2004-03-01,0.815533224695652
2004-04-01,0.833518721
2004-05-01,0.832421512904762
2004-06-01,0.823177725863636
2004-07-01,0.815449970954545
2004-08-01,0.820285111409091
2004-09-01,0.817896862136364
2004-10-01,0.801076714761905
2004-11-01,0.769368548636364
2004-12-01,0.74543760673913
2005-01-01,0.762809682619048
2005-02-01,0.76765133505
2005-03-01,0.758813429434783
2005-04-01,0.772679617285714
2005-05-01,0.7885121195
2005-06-01,0.822577741272727
2005-07-01,0.829936078714286
2005-08-01,0.813393210130435
2005-09-01,0.8166935065
2005-10-01,0.831279693190476
2005-11-01,0.847904099363636
2005-12-01,0.843182467863636
2006-01-01,0.825230608636364
2006-02-01,0.83755990065
2006-03-01,0.831187266217391
2006-04-01,0.8141953955
2006-05-01,0.782905714217391
2006-06-01,0.789752016636364
2006-07-01,0.787832115666667
2006-08-01,0.780600743304348
