DATE,CCUSMA02DEM618N
1982-08-01,1.26672563566363
1982-09-01,1.27920115756482
1982-10-01,1.29310829673336
1982-11-01,1.30640188564446
1982-12-01,1.23681506061365
1983-01-01,1.22132291661341
1983-02-01,1.24013845784143
1983-03-01,1.23113972073237
1983-04-01,1.24750106093065
1983-05-01,1.26191949198039
1983-06-01,1.30277171328796
1983-07-01,1.32307000097145
1983-08-01,1.36729674869493
1983-09-01,1.36397335146715
1983-10-01,1.32981905380324
1983-11-01,1.37225627994253
1983-12-01,1.40497896033909
1984-01-01,1.43488953538907
1984-02-01,1.3818174381209
1984-03-01,1.32746711114974
1984-04-01,1.34996395392238
1984-05-01,1.40574589816088
1984-06-01,1.40042846259644
1984-07-01,1.45723299059734
1984-08-01,1.47620191938972
1984-09-01,1.54589100279677
1984-10-01,1.56884800826248
1984-11-01,1.52963192097473
1984-12-01,1.58618080303503
1985-01-01,1.62007945475834
1985-02-01,1.6869564328188
1985-03-01,1.68792788739308
1985-04-01,1.5759549654111
1985-05-01,1.59134485103511
1985-06-01,1.56731413261889
1985-07-01,1.49010905855826
1985-08-01,1.42650434853745
1985-09-01,1.45196668422102
1985-10-01,1.35206025063528
1985-11-01,1.32572871875368
1985-12-01,1.28564343526789
1986-01-01,1.24949509926732
1986-02-01,1.19340637990009
1986-03-01,1.157462560652
1986-04-01,1.16298451296892
1986-05-01,1.13926056968141
1986-06-01,1.14350429229534
1986-07-01,1.1009136785917
1986-08-01,1.05638015573951
1986-09-01,1.04308656682841
1986-10-01,1.02498683423406
1986-11-01,1.03608186805602
1986-12-01,1.01839116896663
1987-01-01,0.950031444450694
1987-02-01,0.933874621004893
1987-03-01,0.937658180925745
1987-04-01,0.925949596846352
1987-05-01,0.913320687380805
1987-06-01,0.929682027579084
1987-07-01,0.944356104569416
1987-08-01,0.950031444450694
1987-09-01,0.926716534668146
1987-10-01,0.921399099103705
1987-11-01,0.859583910667082
1987-12-01,0.835041900369664
1988-01-01,0.844909833676751
1988-02-01,0.867969097518701
1988-03-01,0.858203422587853
1988-04-01,0.85447099185512
1988-05-01,0.865872800805796
1988-06-01,0.897675155816201
1988-07-01,0.942924487302066
1988-08-01,0.965012296569743
1988-09-01,0.954428554628981
1988-10-01,0.931318161598912
1988-11-01,0.894505146152784
1988-12-01,0.897572897439962
1989-01-01,0.936533338787114
1989-02-01,0.946861434787277
1989-03-01,0.953661616807187
1989-04-01,0.956115817836929
1989-05-01,0.997172555896985
1989-06-01,1.01281808746159
1989-07-01,0.968437952173757
1989-08-01,0.985412842629472
1989-09-01,0.996916909956387
1989-10-01,0.95458194219334
1989-11-01,0.935766400965319
1989-12-01,0.890363681915095
1990-01-01,0.865003604607762
1990-02-01,0.856925192884862
1990-03-01,0.871548140687074
1990-04-01,0.863162953835456
1990-05-01,0.849818235736235
1990-06-01,0.861015527934432
1990-07-01,0.838365297597439
1990-08-01,0.8030861577949
1990-09-01,0.802625995101824
1990-10-01,0.779566731259874
1990-11-01,0.760291027338777
1990-12-01,0.762796357556638
1991-01-01,0.77205074060629
1991-02-01,0.756660854982284
1991-03-01,0.819191852052581
1991-04-01,0.869912006667246
1991-05-01,0.877121222192113
1991-06-01,0.912298103618413
1991-07-01,0.914547787895676
1991-08-01,0.89240884943988
1991-09-01,0.867866839142461
1991-10-01,0.864850217043404
1991-11-01,0.830849306943855
1991-12-01,0.799865018943364
1992-01-01,0.806511813398915
1992-02-01,0.828088330785396
1992-03-01,0.849306943855039
1992-04-01,0.842762407775727
1992-05-01,0.828599622666592
1992-06-01,0.804773421002848
1992-07-01,0.764176845635868
1992-08-01,0.741986777991952
1992-09-01,0.740197256407766
1992-10-01,0.757478921992198
1992-11-01,0.811726990587116
1992-12-01,0.807738913913786
1993-01-01,0.82614542163685
1993-02-01,0.839234493795473
1993-03-01,0.84230224508265
1993-04-01,0.816021842389165
1993-05-01,0.821185890389246
1993-06-01,0.844756446112392
1993-07-01,0.876661059499036
1993-08-01,0.866895384568188
1993-09-01,0.829622206428984
1993-10-01,0.837496101399406
1993-11-01,0.869196198033571
1993-12-01,0.874360246033653
1994-01-01,0.891232878113128
1994-02-01,0.888216256014071
1994-03-01,0.86525925054836
1994-04-01,0.868275872647418
1994-05-01,0.847619680647091
1994-06-01,0.833047862032999
1994-07-01,0.80318841617114
1994-08-01,0.799967277319604
1994-09-01,0.792962578547215
1994-10-01,0.777061401042013
1994-11-01,0.786724817596621
1994-12-01,0.803904224804814
1995-01-01,0.782941257675769
1995-02-01,0.767653630428002
1995-03-01,0.719183160090601
1995-04-01,0.705889571179499
1995-05-01,0.719745581159917
1995-06-01,0.715962021239065
1995-07-01,0.710388939734026
1995-08-01,0.738867897516655
1995-09-01,0.74766211787323
1995-10-01,0.723120107575812
1995-11-01,0.724244949714444
1995-12-01,0.736618213239392
1996-01-01,0.747355342744512
1996-02-01,0.749605027021776
1996-03-01,0.755536012843652
1996-04-01,0.769443152012189
1996-05-01,0.784014970626281
1996-06-01,0.780947219339104
1996-07-01,0.769494281200309
1996-08-01,0.758143601437753
1996-09-01,0.769903314705266
1996-10-01,0.781407382032181
1996-11-01,0.772919936804324
1996-12-01,0.793269353675933
1997-01-01,0.820061048250615
1997-02-01,0.856720676132384
1997-03-01,0.86663973862759
1997-04-01,0.87482040872673
1997-05-01,0.870218781795964
1997-06-01,0.882643174509032
1997-07-01,0.916183921915504
1997-08-01,0.942004161915913
1997-09-01,0.91536585490559
1997-10-01,0.898493222826115
1997-11-01,0.887909480885353
