DATE,CCUSMA02NLM618N
1982-04-01,1.20728226490781
1982-05-01,1.16571599711396
1982-06-01,1.21844525822363
1982-07-01,1.23509899215414
1982-08-01,1.23823007564516
1982-09-01,1.2434485481302
1982-10-01,1.25161659201982
1982-11-01,1.2645947062
1982-12-01,1.21095788465814
1983-01-01,1.19321507820902
1983-02-01,1.21490577253813
1983-03-01,1.21740156372662
1983-04-01,1.24639811953478
1983-05-01,1.25933085569335
1983-06-01,1.29554251693735
1983-07-01,1.31382985964578
1983-08-01,1.35548688348285
1983-09-01,1.35467007909389
1983-10-01,1.32512898702642
1983-11-01,1.36451710978305
1983-12-01,1.39936743037877
1984-01-01,1.43194884989404
1984-02-01,1.38471032939906
1984-03-01,1.32971216720893
1984-04-01,1.34963311869529
1984-05-01,1.4035422083668
1984-06-01,1.40136406332957
1984-07-01,1.45831348044888
1984-08-01,1.47859745610811
1984-09-01,1.54920565773173
1984-10-01,1.56944425536935
1984-11-01,1.53005613261273
1984-12-01,1.58659714753756
1985-01-01,1.63474322846473
1985-02-01,1.69110273130312
1985-03-01,1.69691111806907
1985-04-01,1.57901901792886
1985-05-01,1.59372149693018
1985-06-01,1.56762913450499
1985-07-01,1.48994196151036
1985-08-01,1.42482450050143
1985-09-01,1.44896560799742
1985-10-01,1.35317260438079
1985-11-01,1.3260365474586
1985-12-01,1.28569548624819
1986-01-01,1.25007373928511
1986-02-01,1.19630078367843
1986-03-01,1.159907610348
1986-04-01,1.16131432901788
1986-05-01,1.1402589269913
1986-06-01,1.1427547181798
1986-07-01,1.10082542621307
1986-08-01,1.05562891669049
1986-09-01,1.04419365524502
1986-10-01,1.02744916527129
1986-11-01,1.03879367067355
1986-12-01,1.02223069278626
1987-01-01,0.951123332924931
1987-02-01,0.935604049534648
1987-03-01,0.940005717630723
1987-04-01,0.927436005645026
1987-05-01,0.913595709054277
1987-06-01,0.929750284747086
1987-07-01,0.943953605510707
1987-08-01,0.949988882384706
1987-09-01,0.925757018845492
1987-10-01,0.921899887008726
1987-11-01,0.85868830290737
1987-12-01,0.83336736684954
1988-01-01,0.842170703041689
1988-02-01,0.865313494062286
1988-03-01,0.855330329308303
1988-04-01,0.851881599666018
1988-05-01,0.86100258200943
1988-06-01,0.89548987843228
1988-07-01,0.944044361553925
1988-08-01,0.968412359157966
1988-09-01,0.955706513107442
1988-10-01,0.931111625395356
1988-11-01,0.895172232281017
1988-12-01,0.898847852031347
1989-01-01,0.937872950615099
1989-02-01,0.94885443184448
1989-03-01,0.955207354869742
1989-04-01,0.957657768036629
1989-05-01,0.998861011657614
1989-06-01,1.01247441814032
1989-07-01,0.96913840750371
1989-08-01,0.985519873304564
1989-09-01,0.999224035830486
1989-10-01,0.955479622999396
1989-11-01,0.936783878096483
1989-12-01,0.892404172962867
1990-01-01,0.865994164386421
1990-02-01,0.857417718302317
1990-03-01,0.870894990720194
1990-04-01,0.862500056722527
1990-05-01,0.848886650239823
1990-06-01,0.86004964355564
1990-07-01,0.838313571204922
1990-08-01,0.80300947039311
1990-09-01,0.802782580285065
1990-10-01,0.779685167286076
1990-11-01,0.760762532275118
1990-12-01,0.764710420155102
1991-01-01,0.772379305807026
1991-02-01,0.757041534503179
1991-03-01,0.820843032885452
1991-04-01,0.871348770936284
1991-05-01,0.876703377486148
1991-06-01,0.912461258514051
1991-07-01,0.913867977183931
1991-08-01,0.892086526811604
1991-09-01,0.868172309423654
1991-10-01,0.864723579781369
1991-11-01,0.830190905336909
1991-12-01,0.801330483593576
1992-01-01,0.805596017624824
1992-02-01,0.826969065802669
1992-03-01,0.848432870023733
1992-04-01,0.841853056890426
1992-05-01,0.828602674580594
1992-06-01,0.804733835214252
1992-07-01,0.762577653139478
1992-08-01,0.742611323631512
1992-09-01,0.739616374205317
1992-10-01,0.75744993669766
1992-11-01,0.810496843958597
1992-12-01,0.806775846186658
1993-01-01,0.824382518570955
1993-02-01,0.839084997572276
1993-03-01,0.839266509658712
1993-04-01,0.813900195579273
1993-05-01,0.817666571372821
1993-06-01,0.8407186063502
1993-07-01,0.874525232448916
1993-08-01,0.86558576219194
1993-09-01,0.826379151521752
1993-10-01,0.835908536059645
1993-11-01,0.865994164386421
1993-12-01,0.869488272050315
1994-01-01,0.885461335656688
1994-02-01,0.883736970835546
1994-03-01,0.862454678700918
1994-04-01,0.865404250105504
1994-05-01,0.84443960412214
1994-06-01,0.828965698753466
1994-07-01,0.79838091218899
1994-08-01,0.797291839670374
1994-09-01,0.788216235348571
1994-10-01,0.773604512390469
1994-11-01,0.783088518906753
1994-12-01,0.798017888016118
1995-01-01,0.778550716745851
1995-02-01,0.764075127852576
1995-03-01,0.716246693076675
1995-04-01,0.701090433859264
1995-05-01,0.715702156817367
1995-06-01,0.711164354656466
1995-07-01,0.705855126128211
1995-08-01,0.734942437979589
1995-09-01,0.742656701653121
1995-10-01,0.718833240308389
1995-11-01,0.720421471064704
1995-12-01,0.731902110531785
1996-01-01,0.742792835717948
1996-02-01,0.745061736798399
1996-03-01,0.750597855434699
1996-04-01,0.763984371809358
1996-05-01,0.777733912356889
1996-06-01,0.776690217859882
1996-07-01,0.765844870695327
1996-08-01,0.754591121336292
1996-09-01,0.7662078948682
1996-10-01,0.778096936529761
1996-11-01,0.769792758575312
1996-12-01,0.790031356212932
1997-01-01,0.817802705437648
1997-02-01,0.853696720530378
1997-03-01,0.865313494062286
1997-04-01,0.872573977519728
1997-05-01,0.869352137985488
1997-06-01,0.879607570869125
1997-07-01,0.914684781572893
1997-08-01,0.940777143998076
1997-09-01,0.913958733227149
1997-10-01,0.899437766312264
1997-11-01,0.886595786196914
1997-12-01,0.909375553044638
1998-01-01,0.929114992444559
1998-02-01,0.927163737515372
1998-03-01,0.934514977016032
1998-04-01,0.938508242917625
1998-05-01,0.905563799229481
1998-06-01,0.916726792545299
1998-07-01,0.919585607906666
1998-08-01,0.914639403551284
1998-09-01,0.869579028093533
1998-10-01,0.838631217356186
1998-11-01,0.858506790820934
1998-12-01,0.853787476573596
1999-01-01,0.86152598295
1999-02-01,0.8923797552
1999-03-01,0.918689368086957
1999-04-01,0.93434114647619
1999-05-01,0.94091239447619
1999-06-01,0.963638731772727
1999-07-01,0.966225199954545
1999-08-01,0.9435675375
1999-09-01,0.950979647636364
1999-10-01,0.933960847809524
1999-11-01,0.96829107195
1999-12-01,0.98824309352381
2000-01-01,0.98659965515
2000-02-01,1.01583126038095
2000-03-01,1.03626881430435
2000-04-01,1.057506551
2000-05-01,1.10190830559091
2000-06-01,1.05298371918182
2000-07-01,1.06541093333333
2000-08-01,1.10593816330435
2000-09-01,1.14839744757143
2000-10-01,1.171642344
2000-11-01,1.16781840709524
2000-12-01,1.11084724065
2001-01-01,1.06510992013636
2001-02-01,1.0853814393
2001-03-01,1.10101394831818
2001-04-01,1.118874966
2001-05-01,1.143491682
2001-06-01,1.1708814672381
2001-07-01,1.16093285659091
2001-08-01,1.10859362878261
2001-09-01,1.09583135555
2001-10-01,1.10384873391304
2001-11-01,1.12572307731818
2001-12-01,1.11988998488889
2002-01-01,1.13291086557143
2002-02-01,1.1485257019
2002-03-01,1.14076238890476
2002-04-01,1.12768557281818
2002-05-01,1.08912031656522
2002-06-01,1.04543044505
2002-07-01,1.00834930243478
2002-08-01,1.02246676136364
2002-09-01,1.018930549
2002-10-01,1.01855763682609
2002-11-01,0.998391457047619
2002-12-01,0.981650596368421
2003-01-01,0.940409409954545
2003-02-01,0.92759539015
2003-03-01,0.926530916619048
2003-04-01,0.919937204636364
2003-05-01,0.864283957363636
2003-06-01,0.856876061523809
2003-07-01,0.879662635565217
2003-08-01,0.896928097333333
2003-09-01,0.888519456863636
2003-10-01,0.854685546434783
2003-11-01,0.85341789995
2003-12-01,0.813112024333333
2004-01-01,0.792752347666667
2004-02-01,0.79142678405
2004-03-01,0.815533224695652
2004-04-01,0.833518721
2004-05-01,0.832421512904762
2004-06-01,0.823177725863636
2004-07-01,0.815449970954545
2004-08-01,0.820285111409091
2004-09-01,0.817896862136364
2004-10-01,0.801076714761905
2004-11-01,0.769368548636364
2004-12-01,0.74543760673913
2005-01-01,0.762809682619048
2005-02-01,0.76765133505
2005-03-01,0.758813429434783
2005-04-01,0.772679617285714
2005-05-01,0.7885121195
2005-06-01,0.822577741272727
2005-07-01,0.829936078714286
2005-08-01,0.813393210130435
2005-09-01,0.8166935065
2005-10-01,0.831279693190476
2005-11-01,0.847904099363636
2005-12-01,0.843182467863636
2006-01-01,0.825230608636364
2006-02-01,0.83755990065
2006-03-01,0.831187266217391
2006-04-01,0.8141953955
2006-05-01,0.782905714217391
2006-06-01,0.789752016636364
2006-07-01,0.787832115666667
2006-08-01,0.780600743304348
2006-09-01,0.785348418952381
2006-10-01,0.792279805363636
2006-11-01,0.775805355454545
2006-12-01,0.75766930852381
2007-01-01,0.769205027173913
2007-02-01,0.7641653326
2007-03-01,0.7547579095
2007-04-01,0.740196535095238
2007-05-01,0.740158730043478
2007-06-01,0.745034100238095
2007-07-01,0.728967981954545
2007-08-01,0.734198174043478
2007-09-01,0.71884956405
2007-10-01,0.70277864073913
2007-11-01,0.680739904772727
2007-12-01,0.68677322555
2008-01-01,0.67966619573913
2008-02-01,0.678629145190476
2008-03-01,0.644097590571429
2008-04-01,0.635092953636364
2008-05-01,0.642545454545455
2008-06-01,0.642904761904762
2008-07-01,0.634608695652174
2008-08-01,0.669
2008-09-01,0.697045454545455
2008-10-01,0.753347826086956
2008-11-01,0.7861
2008-12-01,0.74475
2009-01-01,0.7583
2009-02-01,0.78065
2009-03-01,0.766863636363636
2009-04-01,0.757409090909091
2009-05-01,0.731952380952381
2009-06-01,0.713568181818182
2009-07-01,0.709826086956522
2009-08-01,0.701
2009-09-01,0.686454545454545
2009-10-01,0.675
2009-11-01,0.670233333333333
2009-12-01,0.686347826086957
2010-01-01,0.700142857142857
2010-02-01,0.73085
2010-03-01,0.737
2010-04-01,0.746545454545455
2010-05-01,0.795428571428571
2010-06-01,0.818954545454545
2010-07-01,0.782045454545455
2010-08-01,0.775409090909091
2010-09-01,0.763909090909091
2010-10-01,0.72
2010-11-01,0.733454545454545
2010-12-01,0.756782608695652
2011-01-01,0.748409523809524
2011-02-01,0.73225
2011-03-01,0.713565217391304
2011-04-01,0.691714285714286
2011-05-01,0.698454545454545
2011-06-01,0.694181818181818
2011-07-01,0.700047619047619
2011-08-01,0.697652173913043
2011-09-01,0.727
2011-10-01,0.728857142857143
2011-11-01,0.737136363636364
2011-12-01,0.760636363636364
2012-01-01,0.775
2012-02-01,0.755476190476191
2012-03-01,0.757136363636364
2012-04-01,0.759952380952381
2012-05-01,0.781782608695652
2012-06-01,0.797714285714286
2012-07-01,0.814090909090909
2012-08-01,0.806173913043478
2012-09-01,0.77715
2012-10-01,0.770608695652174
2012-11-01,0.779227272727273
2012-12-01,0.761761904761905
2013-01-01,0.752
2013-02-01,0.74955
2013-03-01,0.772047619047619
2013-04-01,0.767772727272727
2013-05-01,0.770714285714286
2013-06-01,0.758586
2013-07-01,0.764642173913043
2013-08-01,0.751065454545455
2013-09-01,0.74911619047619
2013-10-01,0.733005652173913
2013-11-01,0.741359523809524
2013-12-01,0.729712272727273
2014-01-01,0.73408347826087
2014-02-01,0.731746
2014-03-01,0.723164761904762
2014-04-01,0.724089090909091
2014-05-01,0.728108181818182
2014-06-01,0.735575238095238
2014-07-01,0.738856956521739
2014-08-01,0.75092
2014-09-01,0.775189545454545
2014-10-01,0.789044347826087
2014-11-01,0.801368
2014-12-01,0.812196086956522
2015-01-01,0.859902727272727
2015-02-01,0.880563
2015-03-01,0.924472727272727
2015-04-01,0.924685454545455
2015-05-01,0.896117142857143
2015-06-01,0.891557727272727
2015-07-01,0.908782608695652
2015-08-01,0.898364761904762
2015-09-01,0.891428636363636
2015-10-01,0.890323636363636
2015-11-01,0.93277
2015-12-01,0.918451304347826
2016-01-01,0.921767142857143
2016-02-01,0.901702380952381
2016-03-01,0.898522608695652
2016-04-01,0.881817619047619
2016-05-01,0.884608181818182
2016-06-01,0.890281363636364
2016-07-01,0.904311428571429
