Date,Sweden
1993-12-01,8.36248561309524
1994-01-01,8.12525701514286
1994-02-01,7.9871799946
1994-03-01,7.91573041426087
1994-04-01,7.88594210784211
1994-05-01,7.7179000377
1994-06-01,7.80870912290909
1994-07-01,7.75964761919048
1994-08-01,7.7394956506087
1994-09-01,7.52939998013636
1994-10-01,7.25703330261905
1994-11-01,7.34356189909524
1994-12-01,7.51859526414286
1995-01-01,7.4654189972381
1995-02-01,7.3824700118
1995-03-01,7.27515220643478
1995-04-01,7.34225553938889
1995-05-01,7.29110953919048
1995-06-01,7.2552999973
1995-07-01,7.17944285990476
1995-08-01,7.22971735830435
1995-09-01,7.13990000319048
1995-10-01,6.83050909904545
1995-11-01,6.57792271263636
1995-12-01,6.6342263471579
1996-01-01,6.72541811259091
1996-02-01,6.88368091128571
1996-03-01,6.73424761652381
1996-04-01,6.71443800695238
1996-05-01,6.8010899544
1996-06-01,6.68164999495
1996-07-01,6.6439000006087
1996-08-01,6.62034545454545
1996-09-01,6.6392380952381
1996-10-01,6.59785652173913
1996-11-01,6.6245380952381
1996-12-01,6.81855
1997-01-01,7.05442272727273
1997-02-01,7.398805
1997-03-01,7.64826666666667
1997-04-01,7.67324285714286
1997-05-01,7.676395
1997-06-01,7.74514761904762
1997-07-01,7.81360434782609
1997-08-01,7.98902
1997-09-01,7.69691428571429
1997-10-01,7.57420434782609
1997-11-01,7.56018421052632
1997-12-01,7.785195
1998-01-01,8.02736190476191
1998-02-01,8.07699
1998-03-01,7.9671
1998-04-01,7.823015
1998-05-01,7.68938
1998-06-01,7.90400909090909
1998-07-01,7.99015652173913
1998-08-01,8.12554761904762
1998-09-01,7.87313181818182
1998-10-01,7.84023181818182
1998-11-01,7.98751904761905
1998-12-01,8.06049545454546
1999-01-01,7.82472
1999-02-01,7.947025
1999-03-01,8.21002173913043
1999-04-01,8.3234
1999-05-01,8.43757619047619
1999-06-01,8.50406363636364
1999-07-01,8.44117142857143
1999-08-01,8.26169545454546
1999-09-01,8.21373124040909
1999-10-01,8.1429007592381
1999-11-01,8.35275188871429
1999-12-01,8.48906352433333
2000-01-01,8.4763759868
2000-02-01,8.63709474666667
2000-03-01,8.68634248121739
2000-04-01,8.7416040336
2000-05-01,9.07563927077273
2000-06-01,8.74247073568182
2000-07-01,8.94962537557143
2000-08-01,9.277094068
2000-09-01,9.67724533705
2000-10-01,9.98513786509091
2000-11-01,10.0687668178571
2000-12-01,9.60972231415
2001-01-01,9.46558874877273
2001-02-01,9.74347132265
2001-03-01,10.0551277871364
2001-04-01,10.1881835245
2001-05-01,10.3504264756522
2001-06-01,10.7935601142857
2001-07-01,10.7540945245455
2001-08-01,10.3319267091304
2001-09-01,10.6112337565
2001-10-01,10.5867860486957
2001-11-01,10.6001309395455
2001-12-01,10.5799915244444
2002-01-01,10.4587169280952
2002-02-01,10.548914958
2002-03-01,10.3305792547619
2002-04-01,10.3052528922727
2002-05-01,10.0473061008261
2002-06-01,9.5263685766
2002-07-01,9.34408421369565
2002-08-01,9.45833970909091
2002-09-01,9.34421341114286
2002-10-01,9.27463438547826
2002-11-01,9.06090422495238
2002-12-01,8.95318616457895
2003-01-01,8.63019542259091
2003-02-01,8.48738091985
2003-03-01,8.5442161687619
2003-04-01,8.42542985731818
2003-05-01,7.90818532895455
2003-06-01,7.81020038766667
2003-07-01,8.08793680556522
2003-08-01,8.28377064309524
2003-09-01,8.05320551968182
2003-10-01,7.70157418217391
2003-11-01,7.67524656445
2003-12-01,7.33133503528571
2004-01-01,7.24499633419048
2004-02-01,7.2658700551
2004-03-01,7.53752280904348
2004-04-01,7.6444401005
2004-05-01,7.60087365938095
2004-06-01,7.52756517195455
2004-07-01,7.502486876
2004-08-01,7.53790331259091
2004-09-01,7.43087360681818
2004-10-01,7.24256609809524
2004-11-01,6.92461816904545
2004-12-01,6.692234135
2005-01-01,6.90866191642857
2005-02-01,6.97296214365
2005-03-01,6.901379306
2005-04-01,7.08385945338095
2005-05-01,7.24848904781818
2005-06-01,7.62717808209091
2005-07-01,7.82404999742857
2005-08-01,7.592560045
2005-09-01,7.62064954936364
2005-10-01,7.838426237
2005-11-01,8.11204769642857
2005-12-01,7.95618917572727
2006-01-01,7.68105071795455
2006-02-01,7.82555423425
2006-03-01,7.80940293508696
2006-04-01,7.5925743866
2006-05-01,7.30565981865217
2006-06-01,7.29414059663636
2006-07-01,7.25685204047619
2006-08-01,7.18835153956522
2006-09-01,7.28399864552381
2006-10-01,7.33497215786364
2006-11-01,7.05976842309091
2006-12-01,6.84736038561905
2007-01-01,6.98576402978261
2007-02-01,7.02018910765
2007-03-01,7.016693403
2007-04-01,6.838062501
2007-05-01,6.81850193052174
2007-06-01,6.94989940109524
2007-07-01,6.69824686045455
2007-08-01,6.84671581686957
2007-09-01,6.6705657125
2007-10-01,6.44873130165217
2007-11-01,6.32332517872727
2007-12-01,6.47606680715
2008-01-01,6.4087219823913
2008-02-01,6.35299155690476
2008-03-01,6.06149514161905
2008-04-01,5.95165930840909
2008-05-01,5.98881818181818
2008-06-01,6.03142857142857
2008-07-01,6.00173913043478
2008-08-01,6.28195238095238
2008-09-01,6.67013636363636
2008-10-01,7.43421739130435
2008-11-01,7.96875
2008-12-01,8.01335
