Date,Denmark
2021-03-01,6.2498
2021-04-01,6.22020909090909
2021-05-01,6.12237619047619
2021-06-01,6.17347272727273
2021-07-01,6.29121363636364
2021-08-01,6.31767727272727
2021-09-01,6.31790909090909
2021-10-01,6.41284285714286
2021-11-01,6.51680454545455
2021-12-01,6.57856086956522
2022-01-01,6.57694285714286
2022-02-01,6.560795
2022-03-01,6.7526
2022-04-01,6.87828095238095
2022-05-01,7.03675454545455
2022-06-01,7.04149090909091
2022-07-01,7.31265714285714
2022-08-01,7.34598695652174
2022-09-01,7.51083181818182
2022-10-01,7.57167142857143
2022-11-01,7.29525454545455
2022-12-01,7.02319545454545
2023-01-01,6.90794545454545
2023-02-01,6.94864
2023-03-01,6.95546956521739
2023-04-01,6.79514
2023-05-01,6.84813913043478
2023-06-01,6.87049545454545
2023-07-01,6.73867619047619
2023-08-01,6.83151739130435
2023-09-01,6.97968571428571
2023-10-01,7.06318636363636
2023-11-01,6.89954545454545
2023-12-01,6.83168095238095
