Date,Bitcoin
2019-09-06,10267.9771428571428571
2019-09-13,10324.0928571428571429
2019-09-20,10249.9142857142857143
2019-09-27,8994.4657142857142857
2019-10-04,8245.2585714285714286
2019-10-11,8268.5514285714285714
2019-10-18,8161.1128571428571429
2019-10-25,8005.8414285714285714
2019-11-01,9299.3714285714285714
2019-11-08,9223.2157142857142857
2019-11-15,8747.8685714285714286
2019-11-22,8038.6100000000000000
2019-11-29,7318.4157142857142857
2019-12-06,7387.3871428571428571
2019-12-13,7327.0271428571428571
2019-12-20,7045.5985714285714286
2019-12-27,7272.5957142857142857
2020-01-03,7212.3014285714285714
2020-01-10,7811.1957142857142857
2020-01-17,8499.6057142857142857
2020-01-24,8635.9528571428571429
2020-01-31,9052.1042857142857143
2020-02-07,9474.9085714285714286
2020-02-14,10169.1442857142857143
2020-02-21,9802.6342857142857143
2020-02-28,9272.4842857142857143
2020-03-06,8816.7300000000000000
2020-03-13,7330.7871428571428571
2020-03-20,5543.9728571428571429
2020-03-27,6447.3557142857142857
2020-04-03,6462.9385714285714286
2020-04-10,7104.5542857142857143
2020-04-17,6892.0557142857142857
2020-04-24,7173.1571428571428571
2020-05-01,8157.7385714285714286
2020-05-08,9253.9485714285714286
2020-05-15,9168.2214285714285714
2020-05-22,9468.6885714285714286
2020-05-29,9112.7728571428571429
2020-06-05,9697.6171428571428571
2020-06-12,9666.6500000000000000
2020-06-19,9411.3042857142857143
2020-06-26,9377.1857142857142857
2020-07-03,9117.4285714285714286
2020-07-10,9255.2342857142857143
2020-07-17,9215.7600000000000000
2020-07-24,9380.8371428571428571
2020-07-31,10761.1014285714285714
2020-08-07,11484.642857142857
2020-08-14,11704.220000000000
2020-08-21,11890.607142857143
2020-08-28,11536.392857142857
2020-09-04,11397.8600000000000000
2020-09-11,10271.7385714285714286
2020-09-18,10727.5471428571428571
2020-09-25,10658.0271428571428571
2020-10-02,10715.5885714285714286
2020-10-09,10751.2800000000000000
2020-10-16,11415.5214285714285714
2020-10-23,12188.767142857143
2020-10-30,13323.612857142857
2020-11-06,14363.855714285714
2020-11-13,15620.748571428571
2020-11-20,17246.507142857143
2020-11-27,18257.148571428571
2020-12-04,18830.738571428571
2020-12-11,18707.641428571429
2020-12-18,20583.342857142857
2020-12-25,23650.977142857143
2021-01-01,27806.252857142857
2021-01-08,35551.041428571429
2021-01-15,37370.175714285714
2021-01-22,34763.261428571429
2021-01-29,32456.737142857143
2021-02-05,35641.592857142857
2021-02-12,44526.658571428571
2021-02-19,50441.442857142857
2021-02-26,51382.692857142857
2021-03-05,48106.630000000000
2021-03-12,54064.278571428571
2021-03-19,58237.841428571429
2021-03-26,54706.717142857143
2021-04-02,57830.084285714286
2021-04-09,57773.228571428571
2021-04-16,61693.305714285714
2021-04-23,55095.322857142857
2021-04-30,53528.175714285714
2021-05-07,56602.887142857143
2021-05-14,54109.460000000000
2021-05-21,42239.711428571429
2021-05-28,37536.768571428571
2021-06-04,36813.875714285714
2021-06-11,35720.492857142857
2021-06-18,38217.422857142857
2021-06-25,33621.081428571429
2021-07-02,34242.900000000000
2021-07-09,34009.150000000000
2021-07-16,32823.692857142857
2021-07-23,31715.614285714286
2021-07-30,38362.912857142857
2021-08-06,40299.235714285714
2021-08-13,45414.160000000000
2021-08-20,46528.108571428571
2021-08-27,48614.024285714286
2021-09-03,48543.701428571429
2021-09-10,48385.951428571429
2021-09-17,46631.474285714286
2021-09-24,44353.072857142857
2021-10-01,43220.981428571429
2021-10-08,51381.384285714286
2021-10-15,57064.014285714286
2021-10-22,62520.192857142857
2021-10-29,61007.595714285714
2021-11-05,61878.168571428571
2021-11-12,64757.151428571429
2021-11-19,61329.300000000000
2021-11-26,57498.034285714286
2021-12-03,56331.760000000000
2021-12-10,49364.402857142857
2021-12-17,48173.210000000000
2021-12-24,48531.168571428571
2021-12-31,48479.412857142857
2022-01-07,45089.835714285714
2022-01-14,42544.362857142857
2022-01-21,41407.155714285714
2022-01-28,36659.672857142857
2022-02-04,38421.472857142857
2022-02-11,43180.204285714286
2022-02-18,42257.321428571429
2022-02-25,38379.692857142857
2022-03-04,41422.421428571429
2022-03-11,39237.627142857143
2022-03-18,39919.187142857143
2022-03-25,42590.772857142857
2022-04-01,46387.332857142857
2022-04-08,44738.181428571429
2022-04-15,40892.665714285714
2022-04-22,40552.811428571429
2022-04-29,39296.328571428571
2022-05-06,37793.365714285714
2022-05-13,31136.287142857143
2022-05-20,29953.857142857143
2022-05-27,29372.342857142857
2022-06-03,30257.727142857143
2022-06-10,30207.508571428571
2022-06-17,23253.182857142857
2022-06-24,20434.862857142857
2022-07-01,20381.767142857143
2022-07-08,20381.044285714286
2022-07-15,20464.918571428571
2022-07-22,22403.064285714286
2022-07-29,22607.855714285714
2022-08-05,23129.301428571429
2022-08-12,23635.528571428571
2022-08-19,23440.955714285714
2022-08-26,21243.667142857143
2022-09-02,19973.270000000000
2022-09-09,19770.454285714286
2022-09-16,20820.958571428571
2022-09-23,19308.552857142857
2022-09-30,19209.211428571429
2022-10-07,19715.000000000000
2022-10-14,19249.798571428571
2022-10-21,19226.777142857143
2022-10-28,19980.292857142857
2022-11-04,20561.465714285714
2022-11-11,18825.477142857143
2022-11-18,16646.412857142857
2022-11-25,16368.040000000000
2022-12-02,16682.325714285714
2022-12-09,17035.437142857143
2022-12-16,17284.691428571429
2022-12-23,16757.652857142857
2022-12-30,16724.362857142857
2023-01-06,16729.052857142857
2023-01-13,17917.250000000000
2023-01-20,21238.325714285714
2023-01-27,22884.764285714286
2023-02-03,23350.527142857143
2023-02-10,22668.044285714286
2023-02-17,22856.088571428571
2023-02-24,24219.054285714286
2023-03-03,23254.548571428571
2023-03-10,21670.957142857143
2023-03-17,24107.434285714286
2023-03-24,27747.034285714286
2023-03-31,27825.945714285714
2023-04-07,28114.165714285714
2023-04-14,29576.951428571429
2023-04-21,29255.548571428571
2023-04-28,28355.444285714286
2023-05-05,28954.855714285714
2023-05-12,27728.885714285714
2023-05-19,27009.408571428571
2023-05-26,26783.272857142857
2023-06-02,27392.234285714286
2023-06-09,26644.871428571429
2023-06-16,25800.750000000000
2023-06-23,28364.317142857143
2023-06-30,30435.280000000000
2023-07-07,30553.148571428571
2023-07-14,30528.528571428571
2023-07-21,30025.950000000000
2023-07-28,29451.104285714286
2023-08-04,29283.655714285714
2023-08-11,29345.608571428571
2023-08-18,28369.592857142857
2023-08-25,26155.297142857143
2023-09-01,26418.751428571429
2023-09-08,25908.385714285714
2023-09-15,26016.472857142857
2023-09-22,26762.812857142857
2023-09-29,26513.504285714286
2023-10-06,27577.732857142857
2023-10-13,27335.330000000000
2023-10-20,28240.804285714286
2023-10-27,32782.722857142857
2023-11-03,34703.285714285714
2023-11-10,35736.080000000000
2023-11-17,36703.715714285714
2023-11-24,37098.018571428571
2023-12-01,37811.268571428571
2023-12-08,42388.745714285714
2023-12-15,42580.681428571429
2023-12-22,42863.945714285714
2023-12-29,42994.267142857143
2024-01-05,43566.580000000000
2024-01-12,45248.531428571429
2024-01-19,42549.552500000000
