Date,Hungary
2011-01-01,205.947142857143
2011-02-01,198.1535
2011-03-01,193.109565217391
2011-04-01,183.235714285714
2011-05-01,186.451818181818
2011-06-01,184.889090909091
2011-07-01,187.269047619048
2011-08-01,189.687826086957
2011-09-01,206.890909090909
2011-10-01,216.174761904762
2011-11-01,227.503181818182
2011-12-01,231.569090909091
2012-01-01,237.802727272727
2012-02-01,219.270476190476
2012-03-01,221.134090909091
2012-04-01,223.772857142857
2012-05-01,229.463043478261
2012-06-01,233.639047619048
2012-07-01,232.917272727273
2012-08-01,224.603043478261
2012-09-01,220.3345
2012-10-01,217.100434782609
2012-11-01,219.858636363636
2012-12-01,217.977619047619
2013-01-01,220.478260869565
2013-02-01,219.1505
2013-03-01,233.844285714286
2013-04-01,229.197727272727
2013-05-01,225.307142857143
2013-06-01,224.2345
2013-07-01,225.453043478261
2013-08-01,224.850909090909
2013-09-01,224.5
2013-10-01,216.297826086957
2013-11-01,220.422380952381
2013-12-01,219.244090909091
2014-01-01,221.68652173913
2014-02-01,227.0425
2014-03-01,225.46
2014-04-01,222.485
2014-05-01,221.735909090909
2014-06-01,225.061428571429
2014-07-01,228.706956521739
2014-08-01,235.595238095238
2014-09-01,242.619090909091
2014-10-01,242.60347826087
2014-11-01,246.1875
2014-12-01,252.246086956522
2015-01-01,271.42
2015-02-01,270.3035
2015-03-01,280.155909090909
2015-04-01,277.839090909091
2015-05-01,274.181428571429
2015-06-01,278.368181818182
2015-07-01,283.051739130435
2015-08-01,279.782380952381
2015-09-01,278.652272727273
2015-10-01,276.843636363636
2015-11-01,290.855714285714
2015-12-01,288.873913043478
2016-01-01,289.602380952381
2016-02-01,279.495238095238
2016-03-01,280.238260869565
2016-04-01,274.740476190476
2016-05-01,278.043181818182
2016-06-01,279.358636363636
2016-07-01,284.242857142857
2016-08-01,276.91
2016-09-01,275.409545454545
2016-10-01,278.378571428571
2016-11-01,286.013636363636
2016-12-01,295.819090909091
2017-01-01,290.975
2017-02-01,289.9335
2017-03-01,289.997391304348
2017-04-01,290.7355
2017-05-01,280.728260869565
2017-06-01,274.530909090909
2017-07-01,266.637619047619
2017-08-01,257.570869565217
2017-09-01,258.747142857143
2017-10-01,263.579545454545
2017-11-01,265.715454545455
2017-12-01,264.56619047619
2018-01-01,253.837391304348
2018-02-01,252.194
2018-03-01,253.218636363636
2018-04-01,253.851904761905
2018-05-01,267.432608695652
2018-06-01,276.357142857143
2018-07-01,278.003636363636
2018-08-01,279.78
2018-09-01,278.532
2018-10-01,282.111304347826
2018-11-01,284.025909090909
2018-12-01,283.309523809524
2019-01-01,280.23
2019-02-01,280.262
2019-03-01,279.368571428571
2019-04-01,285.560909090909
2019-05-01,290.618260869565
2019-06-01,285.855
2019-07-01,289.914347826087
2019-08-01,293.723636363636
2019-09-01,301.920952380952
2019-10-01,300.158695652174
2019-11-01,301.836666666667
2019-12-01,297.782272727273
2020-01-01,300.906086956522
2020-02-01,309.2715
2020-03-01,312.114545454545
2020-04-01,327.990454545455
2020-05-01,322.36380952381
2020-06-01,308.675
2020-07-01,306.563913043478
2020-08-01,294.615714285714
2020-09-01,305.629090909091
2020-10-01,308.284545454545
2020-11-01,304.241904761905
2020-12-01,295.239130434783
2021-01-01,295.048571428571
2021-02-01,296.046
2021-03-01,307.230869565217
2021-04-01,301.943181818182
2021-05-01,291.395714285714
2021-06-01,290.269545454545
2021-07-01,302.205
2021-08-01,298.978181818182
2021-09-01,299.249090909091
2021-10-01,311.148095238095
2021-11-01,319.336818181818
2021-12-01,325.03652173913
2022-01-01,316.798571428571
2022-02-01,314.84
2022-03-01,342.356086956522
2022-04-01,346.430952380952
2022-05-01,363.623181818182
2022-06-01,375.234545454545
2022-07-01,396.825238095238
2022-08-01,397.26652173913
2022-09-01,407.818181818182
2022-10-01,425.545238095238
2022-11-01,399.715454545455
2022-12-01,384.437272727273
2023-01-01,367.326818181818
2023-02-01,359.1925
2023-03-01,359.913913043478
2023-04-01,343.0385
2023-05-01,342.766956521739
2023-06-01,342.148636363636
2023-07-01,342.850952380952
2023-08-01,353.348695652174
2023-09-01,361.742380952381
2023-10-01,364.772727272727
2023-11-01,350.840909090909
2023-12-01,349.871904761905
