Date,Switzerland
1998-09-01,1.40081363636364
1998-10-01,1.33922727272727
1998-11-01,1.38544761904762
1998-12-01,1.35862380952381
1999-01-01,1.3857825
1999-02-01,1.42743
1999-03-01,1.46587826086957
1999-04-01,1.497375
1999-05-01,1.50838095238095
1999-06-01,1.53754090909091
1999-07-01,1.55062272727273
1999-08-01,1.50814090909091
1999-09-01,1.52365226690909
1999-10-01,1.48985396895238
1999-11-01,1.55543716833333
1999-12-01,1.58270082352381
2000-01-01,1.58926960625
2000-02-01,1.63211482366667
2000-03-01,1.66262416252174
2000-04-01,1.6627362496
2000-05-01,1.716085873
2000-06-01,1.64162940990909
2000-07-01,1.6505962892381
2000-08-01,1.71477883073913
2000-09-01,1.7573328303
2000-10-01,1.77273220977273
2000-11-01,1.77548241919048
2000-12-01,1.6799378601
2001-01-01,1.62906720536364
2001-02-01,1.6676501074
2001-03-01,1.69079254490909
2001-04-01,1.71145335525
2001-05-01,1.75326443913043
2001-06-01,1.78431444928571
2001-07-01,1.75696783209091
2001-08-01,1.67962190786957
2001-09-01,1.634073199
2001-10-01,1.63369969386957
2001-11-01,1.64961802590909
2001-12-01,1.65284687044444
2002-01-01,1.67104022057143
2002-02-01,1.69704615555
2002-03-01,1.67433857495238
2002-04-01,1.65239641327273
2002-05-01,1.5870713753913
2002-06-01,1.5386389376
2002-07-01,1.47358419586957
2002-08-01,1.49687553513636
2002-09-01,1.49215480042857
2002-10-01,1.49211885743478
2002-11-01,1.46534232852381
2002-12-01,1.44064966989474
2003-01-01,1.37505163713636
2003-02-01,1.36065611145
2003-03-01,1.36163955595238
2003-04-01,1.37733905063636
2003-05-01,1.30950613977273
2003-06-01,1.31936864409524
2003-07-01,1.36009943165217
2003-08-01,1.38154840890476
2003-09-01,1.37421988322727
2003-10-01,1.32354402295652
2003-11-01,1.33070525575
2003-12-01,1.26411631766667
2004-01-01,1.24137740347619
2004-02-01,1.24530486825
2004-03-01,1.2773881153913
2004-04-01,1.29799597422727
2004-05-01,1.2816438672381
2004-06-01,1.249726194
2004-07-01,1.2456522465
2004-08-01,1.26237759954545
2004-09-01,1.26231528413636
2004-10-01,1.23333388495238
2004-11-01,1.17039474713636
2004-12-01,1.14540259852174
2005-01-01,1.18001684552381
2005-02-01,1.18965914555
2005-03-01,1.17608614826087
2005-04-01,1.19525727052381
2005-05-01,1.218301664
2005-06-01,1.26724873295455
2005-07-01,1.29350154247619
2005-08-01,1.26259377382609
2005-09-01,1.26562249522727
2005-10-01,1.28734668409524
2005-11-01,1.31005637986364
2005-12-01,1.30557225168182
2006-01-01,1.27829348886364
2006-02-01,1.30568677095
2006-03-01,1.30447351630435
2006-04-01,1.2819955226
2006-05-01,1.21844583452174
2006-06-01,1.23202883654545
2006-07-01,1.23614202885714
2006-08-01,1.23184925326087
2006-09-01,1.24408575666667
2006-10-01,1.25972774340909
2006-11-01,1.23509625768182
2006-12-01,1.21062544847619
2007-01-01,1.24239137430435
2007-02-01,1.23843462855
2007-03-01,1.21775193140909
2007-04-01,1.21304750566667
2007-05-01,1.22171238208696
2007-06-01,1.23295788595238
2007-07-01,1.20754583009091
2007-08-01,1.20332700543478
2007-09-01,1.1851428132
2007-10-01,1.17432402095652
2007-11-01,1.12231142622727
2007-12-01,1.13951412275
2008-01-01,1.10166414308696
2008-02-01,1.09137451247619
2008-03-01,1.0118352837619
2008-04-01,1.01377551627273
2008-05-01,1.04468181818182
2008-06-01,1.038
2008-07-01,1.02778260869565
2008-08-01,1.08352380952381
2008-09-01,1.10990909090909
2008-10-01,1.14291304347826
2008-11-01,1.19075
2008-12-01,1.14735
2009-01-01,1.13185
2009-02-01,1.16285
2009-03-01,1.15486363636364
2009-04-01,1.14731818181818
2009-05-01,1.10585714285714
2009-06-01,1.08104545454545
2009-07-01,1.07813043478261
2009-08-01,1.06761904761905
2009-09-01,1.03963636363636
2009-10-01,1.02181818181818
2009-11-01,1.01228571428571
2009-12-01,1.02991304347826
2010-01-01,1.03342857142857
2010-02-01,1.07155
2010-03-01,1.06613043478261
2010-04-01,1.07031818181818
2010-05-01,1.12961904761905
2010-06-01,1.12604545454545
2010-07-01,1.05336363636364
2010-08-01,1.03904545454545
2010-09-01,1.00122727272727
2010-10-01,0.96947619047619
2010-11-01,0.985
2010-12-01,0.967304347826087
2011-01-01,0.956333333333333
2011-02-01,0.94945
2011-03-01,0.918739130434783
2011-04-01,0.896809523809524
2011-05-01,0.873409090909091
2011-06-01,0.839954545454545
2011-07-01,0.82247619047619
2011-08-01,0.780130434782609
2011-09-01,0.872818181818182
2011-10-01,0.896047619047619
2011-11-01,0.907045454545455
2011-12-01,0.933363636363636
2012-01-01,0.938090909090909
2012-02-01,0.911761904761905
2012-03-01,0.912818181818182
2012-04-01,0.913142857142857
2012-05-01,0.938869565217391
2012-06-01,0.957666666666667
2012-07-01,0.977681818181818
2012-08-01,0.968173913043478
2012-09-01,0.93995
2012-10-01,0.932173913043478
2012-11-01,0.938954545454545
2012-12-01,0.920476190476191
2013-01-01,0.923565217391304
2013-02-01,0.92115
2013-03-01,0.946380952380952
2013-04-01,0.936409090909091
2013-05-01,0.956714285714286
2013-06-01,0.93431
2013-07-01,0.945191304347826
2013-08-01,0.926418181818182
2013-09-01,0.924380952380952
2013-10-01,0.9027
2013-11-01,0.912814285714286
2013-12-01,0.894163636363636
2014-01-01,0.9035
2014-02-01,0.894215
2014-03-01,0.881104761904762
2014-04-01,0.882577272727273
2014-05-01,0.887959090909091
2014-06-01,0.89602380952381
2014-07-01,0.89694347826087
2014-08-01,0.909795238095238
2014-09-01,0.935363636363636
2014-10-01,0.952608695652174
2014-11-01,0.96458
2014-12-01,0.975895652173913
2015-01-01,0.942172727272727
2015-02-01,0.935255
2015-03-01,0.979818181818182
2015-04-01,0.962095454545455
2015-05-01,0.931571428571429
2015-06-01,0.931854545454545
2015-07-01,0.953004347826087
2015-08-01,0.968128571428571
2015-09-01,0.9716
2015-10-01,0.968127272727273
2015-11-01,1.0087
2015-12-01,0.995778260869565
2016-01-01,1.00540476190476
2016-02-01,0.993033333333333
2016-03-01,0.983291304347826
2016-04-01,0.963961904761905
2016-05-01,0.977227272727273
2016-06-01,0.969981818181818
2016-07-01,0.9821
2016-08-01,0.970334782608696
2016-09-01,0.974304545454545
2016-10-01,0.986747619047619
2016-11-01,0.995845454545455
2016-12-01,1.01926363636364
2017-01-01,1.00863181818182
2017-02-01,1.001735
2017-03-01,1.00213043478261
2017-04-01,1.000755
2017-05-01,0.986821739130435
2017-06-01,0.968545454545455
2017-07-01,0.960690476190476
2017-08-01,0.964978260869565
2017-09-01,0.962180952380952
2017-10-01,0.981722727272727
2017-11-01,0.991909090909091
2017-12-01,0.986857142857143
2018-01-01,0.960947826086957
2018-02-01,0.93405
2018-03-01,0.947090909090909
2018-04-01,0.967561904761905
2018-05-01,0.997034782608696
2018-06-01,0.989561904761905
2018-07-01,0.994645454545454
2018-08-01,0.988847826086957
2018-09-01,0.967935
2018-10-01,0.993486956521739
2018-11-01,1.00109090909091
2018-12-01,0.992595238095238
2019-01-01,0.988860869565217
2019-02-01,1.001565
2019-03-01,1.00065238095238
2019-04-01,1.00696818181818
2019-05-01,1.01089565217391
2019-06-01,0.98904
2019-07-01,0.987395652173913
2019-08-01,0.979231818181818
2019-09-01,0.990528571428571
2019-10-01,0.993652173913044
2019-11-01,0.9931
2019-12-01,0.983477272727273
2020-01-01,0.970039130434783
2020-02-01,0.97611
2020-03-01,0.957027272727273
2020-04-01,0.970981818181818
2020-05-01,0.970633333333333
2020-06-01,0.951572727272727
2020-07-01,0.934665217391304
2020-08-01,0.910109523809524
2020-09-01,0.914377272727273
2020-10-01,0.912677272727273
2020-11-01,0.910895238095238
2020-12-01,0.888882608695652
2021-01-01,0.886395238095238
2021-02-01,0.897285
2021-03-01,0.929478260869565
2021-04-01,0.923559090909091
2021-05-01,0.902642857142857
2021-06-01,0.907918181818182
2021-07-01,0.918045454545454
2021-08-01,0.914236363636364
2021-09-01,0.922354545454545
2021-10-01,0.923585714285714
2021-11-01,0.921877272727273
2021-12-01,0.920934782608696
2022-01-01,0.9187
2022-02-01,0.922685
2022-03-01,0.9297
2022-04-01,0.943090476190476
2022-05-01,0.979463636363636
2022-06-01,0.969131818181818
2022-07-01,0.969561904761905
2022-08-01,0.956978260869565
2022-09-01,0.972940909090909
2022-10-01,0.995666666666667
2022-11-01,0.965909090909091
2022-12-01,0.932054545454545
2023-01-01,0.924104545454545
2023-02-01,0.92429
2023-03-01,0.925552173913043
2023-04-01,0.898385
2023-05-01,0.897417391304348
2023-06-01,0.900868181818182
2023-07-01,0.874
2023-08-01,0.87825652173913
2023-09-01,0.898247619047619
2023-10-01,0.903859090909091
2023-11-01,0.891813636363636
2023-12-01,0.865052380952381
