Date,Ireland
2017-10-01,187.57839
2017-11-01,187.81182
2017-12-01,186.39038
2018-01-01,180.79568
2018-02-01,178.67093
2018-03-01,178.83478
2018-04-01,179.69888
2018-05-01,186.79554
2018-06-01,188.82998
2018-07-01,188.70416
2018-08-01,190.92468
2018-09-01,188.98448
2018-10-01,192.00687
2018-11-01,194.03139
2018-12-01,193.76534
2019-01-01,193.09960
2019-02-01,194.34466
2019-03-01,195.19220
2019-04-01,196.24653
2019-05-01,197.10613
2019-06-01,195.22083
2019-07-01,196.62188
2019-08-01,198.20519
2019-09-01,200.30764
2019-10-01,199.47662
2019-11-01,199.55867
2019-12-01,198.44314
2020-01-01,198.61350
2020-02-01,202.18837
2020-03-01,199.74199
2020-04-01,202.81128
2020-05-01,202.18254
2020-06-01,195.83379
2020-07-01,192.19171
2020-08-01,186.40256
2020-09-01,187.11363
2020-10-01,187.33785
2020-11-01,186.35069
2020-12-01,181.22997
2021-01-01,181.19189
2021-02-01,182.29885
2021-03-01,185.32412
2021-04-01,184.34683
2021-05-01,181.46037
2021-06-01,183.01951
2021-07-01,186.47528
2021-08-01,187.38575
2021-09-01,187.34436
2021-10-01,190.07466
2021-11-01,193.32518
2021-12-01,195.10953
2022-01-01,194.78868
2022-02-01,194.37443
2022-03-01,200.06488
2022-04-01,204.15561
2022-05-01,208.44922
2022-06-01,208.70701
2022-07-01,216.58690
2022-08-01,217.65175
2022-09-01,222.80201
2022-10-01,224.08995
2022-11-01,216.11258
2022-12-01,208.27693
2023-01-01,204.74138
2023-02-01,205.99798
2023-03-01,205.87320
2023-04-01,201.10956
2023-05-01,203.11107
2023-06-01,203.39822
2023-07-01,199.45503
2023-08-01,202.13310
2023-09-01,206.55877
2023-10-01,208.82328
2023-11-01,203.88693
2023-12-01,202.04992
