Date,Uk
1978-06-01,152.34640
1978-07-01,147.85321
1978-08-01,144.35569
1978-09-01,143.03670
1978-10-01,139.59288
1978-11-01,142.88239
1978-12-01,141.09663
1979-01-01,139.60523
1979-02-01,139.74714
1979-03-01,137.46777
1979-04-01,135.13178
1979-05-01,136.07095
1979-06-01,132.58976
1979-07-01,123.99788
1979-08-01,125.17108
1979-09-01,127.34121
1979-10-01,130.61218
1979-11-01,131.27056
1979-12-01,127.28781
1980-01-01,123.63394
1980-02-01,122.28280
1980-03-01,126.95381
1980-04-01,126.41732
1980-05-01,121.70862
1980-06-01,119.85354
1980-07-01,118.02227
1980-08-01,118.10824
1980-09-01,116.57984
1980-10-01,115.86755
1980-11-01,116.89522
1980-12-01,119.32270
1981-01-01,116.51774
1981-02-01,122.14819
1981-03-01,125.67096
1981-04-01,128.57726
1981-05-01,134.01284
1981-06-01,141.83108
1981-07-01,149.39532
1981-08-01,153.78691
1981-09-01,154.31538
1981-10-01,152.00023
1981-11-01,147.18426
1981-12-01,147.05782
1982-01-01,148.48259
1982-02-01,151.65701
1982-03-01,155.05846
1982-04-01,158.00621
1982-05-01,154.65047
1982-06-01,159.35909
1982-07-01,161.34601
1982-08-01,162.19687
1982-09-01,163.51057
1982-10-01,164.95590
1982-11-01,171.67920
1982-12-01,173.20707
1983-01-01,177.81485
1983-02-01,182.71554
1983-03-01,187.86513
1983-04-01,181.64099
1983-05-01,177.93454
1983-06-01,180.86112
1983-07-01,183.26910
1983-08-01,186.35622
1983-09-01,186.79107
1983-10-01,186.93843
1983-11-01,189.55775
1983-12-01,195.22587
1984-01-01,198.87692
1984-02-01,194.34427
1984-03-01,192.28507
1984-04-01,196.84746
1984-05-01,201.36647
1984-06-01,203.30290
1984-07-01,211.91253
1984-08-01,213.15338
1984-09-01,222.50494
1984-10-01,229.40700
1984-11-01,225.66061
1984-12-01,235.72127
1985-01-01,248.38768
1985-02-01,256.14019
1985-03-01,249.42893
1985-04-01,225.71469
1985-05-01,224.40626
1985-06-01,218.60019
1985-07-01,203.31216
1985-08-01,202.51848
1985-09-01,205.23893
1985-10-01,196.91446
1985-11-01,194.39761
1985-12-01,193.55870
1986-01-01,196.61758
1986-02-01,195.96478
1986-03-01,190.73916
1986-04-01,187.24679
1986-05-01,184.26357
1986-06-01,185.56865
1986-07-01,185.65780
1986-08-01,188.34626
1986-09-01,190.39012
1986-10-01,196.23709
1986-11-01,196.48917
1986-12-01,194.72195
1987-01-01,185.73191
1987-02-01,183.27976
1987-03-01,175.85180
1987-04-01,171.67113
1987-05-01,167.95730
1987-06-01,171.90357
1987-07-01,173.99570
1987-08-01,175.08891
1987-09-01,170.15865
1987-10-01,168.60516
1987-11-01,157.62990
1987-12-01,153.25464
1988-01-01,155.61951
1988-02-01,159.24361
1988-03-01,152.81689
1988-04-01,149.13902
1988-05-01,149.81422
1988-06-01,157.47819
1988-07-01,164.31413
1988-08-01,165.02626
1988-09-01,166.28314
1988-10-01,161.16085
1988-11-01,154.72837
1988-12-01,153.27468
1989-01-01,157.77396
1989-02-01,159.63778
1989-03-01,163.46034
1989-04-01,164.63131
1989-05-01,172.27310
1989-06-01,180.30009
1989-07-01,172.35307
1989-08-01,175.60291
1989-09-01,178.39762
1989-10-01,176.41373
1989-11-01,178.04876
1989-12-01,175.53012
1990-01-01,169.51805
1990-02-01,165.08505
1990-03-01,172.39707
1990-04-01,171.03305
1990-05-01,166.97760
1990-06-01,163.80318
1990-07-01,154.88117
1990-08-01,147.24143
1990-09-01,149.06053
1990-10-01,143.88375
1990-11-01,142.51745
1990-12-01,145.45046
1991-01-01,144.70917
1991-02-01,142.59649
1991-03-01,153.48048
1991-04-01,159.83637
1991-05-01,162.47708
1991-06-01,169.80647
1991-07-01,169.77980
1991-08-01,166.42061
1991-09-01,162.35646
1991-10-01,162.56772
1991-11-01,157.40162
1991-12-01,153.40068
1992-01-01,154.70298
1992-02-01,157.53223
1992-03-01,162.45162
1992-04-01,159.45170
1992-05-01,154.71619
1992-06-01,150.92794
1992-07-01,146.03008
1992-08-01,144.29476
1992-09-01,151.53759
1992-10-01,169.11204
1992-11-01,183.19854
1992-12-01,180.40663
1993-01-01,182.72053
1993-02-01,194.71335
1993-03-01,191.48102
1993-04-01,181.12867
1993-05-01,180.90824
1993-06-01,185.52954
1993-07-01,187.16887
1993-08-01,187.75307
1993-09-01,183.49946
1993-10-01,186.10931
1993-11-01,189.11239
1993-12-01,187.84538
1994-01-01,187.46250
1994-02-01,189.29096
1994-03-01,187.59088
1994-04-01,188.75474
1994-05-01,186.27599
1994-06-01,183.64329
1994-07-01,181.14114
1994-08-01,181.52683
1994-09-01,178.90603
1994-10-01,174.46623
1994-11-01,176.33884
1994-12-01,179.65308
1995-01-01,177.89169
1995-02-01,178.04576
1995-03-01,174.90520
1995-04-01,174.26349
1995-05-01,176.54364
1995-06-01,175.58664
1995-07-01,175.51160
1995-08-01,178.69873
1995-09-01,179.53575
1995-10-01,177.36088
1995-11-01,179.18476
1995-12-01,181.77218
1996-01-01,183.05145
1996-02-01,182.16917
1996-03-01,183.32388
1996-04-01,184.77860
1996-05-01,184.78660
1996-06-01,181.55428
1996-07-01,180.19131
1996-08-01,180.65045
1996-09-01,179.54775
1996-10-01,176.53657
1996-11-01,168.41002
1996-12-01,168.22861
1997-01-01,168.78367
1997-02-01,172.23093
1997-03-01,173.94221
1997-04-01,171.79377
1997-05-01,171.44546
1997-06-01,169.97940
1997-07-01,167.66147
1997-08-01,174.61242
1997-09-01,174.86243
1997-10-01,171.48665
1997-11-01,165.77329
1997-12-01,168.78583
1998-01-01,170.99411
1998-02-01,170.65630
1998-03-01,168.46802
1998-04-01,167.38998
1998-05-01,171.24478
1998-06-01,169.63133
1998-07-01,170.34591
1998-08-01,171.44879
1998-09-01,166.53086
1998-10-01,165.19954
1998-11-01,168.48468
1998-12-01,167.60999
1999-01-01,169.58806
1999-02-01,172.03815
1999-03-01,172.64455
1999-04-01,173.86317
1999-05-01,173.39792
1999-06-01,175.58005
1999-07-01,177.75121
1999-08-01,174.32635
1999-09-01,172.35793
1999-10-01,168.92582
1999-11-01,172.83567
1999-12-01,173.53747
2000-01-01,170.69608
2000-02-01,174.94410
2000-03-01,177.06640
2000-04-01,177.02518
2000-05-01,185.53227
2000-06-01,185.33689
2000-07-01,185.60267
2000-08-01,188.08730
2000-09-01,195.32863
2000-10-01,192.91831
2000-11-01,196.09418
2000-12-01,190.96570
2001-01-01,189.53543
2001-02-01,192.74990
2001-03-01,193.90670
2001-04-01,195.03855
2001-05-01,196.23337
2001-06-01,199.61229
2001-07-01,197.83874
2001-08-01,194.70845
2001-09-01,191.12368
2001-10-01,192.90341
2001-11-01,195.01017
2001-12-01,194.23437
2002-01-01,195.56093
2002-02-01,196.69258
2002-03-01,196.70656
