Date,Switzerland
2017-05-01,22.80720
2017-06-01,22.38480
2017-07-01,22.20326
2017-08-01,22.30235
2017-09-01,22.23770
2017-10-01,22.68935
2017-11-01,22.92477
2017-12-01,22.80801
2018-01-01,22.20920
2018-02-01,21.58755
2018-03-01,21.88895
2018-04-01,22.36207
2018-05-01,23.04324
2018-06-01,22.87053
2018-07-01,22.98802
2018-08-01,22.85402
2018-09-01,22.37069
2018-10-01,22.96124
2018-11-01,23.13698
2018-12-01,22.94063
2019-01-01,22.85432
2019-02-01,23.14794
2019-03-01,23.12685
2019-04-01,23.27282
2019-05-01,23.36359
2019-06-01,22.85846
2019-07-01,22.82046
2019-08-01,22.63178
2019-09-01,22.89287
2019-10-01,22.96506
2019-11-01,22.95230
2019-12-01,22.72990
2020-01-01,22.41932
2020-02-01,22.55963
2020-03-01,22.11859
2020-04-01,22.44111
2020-05-01,22.43305
2020-06-01,21.99253
2020-07-01,21.60177
2020-08-01,21.03424
2020-09-01,21.13288
2020-10-01,21.09359
2020-11-01,21.05240
2020-12-01,20.54365
2021-01-01,20.48616
2021-02-01,20.73784
2021-03-01,21.48189
2021-04-01,21.34508
2021-05-01,20.86167
2021-06-01,20.98359
2021-07-01,21.21765
2021-08-01,21.12962
2021-09-01,21.31724
2021-10-01,21.34570
2021-11-01,21.30621
2021-12-01,21.28443
2022-01-01,21.23278
2022-02-01,21.32488
2022-03-01,21.48701
2022-04-01,21.79649
2022-05-01,22.63714
2022-06-01,22.39835
2022-07-01,22.40829
2022-08-01,22.11746
2022-09-01,22.48639
2022-10-01,23.01162
2022-11-01,22.32387
2022-12-01,21.54143
2023-01-01,21.35769
2023-02-01,21.36198
2023-03-01,21.39115
2023-04-01,20.76327
2023-05-01,20.74090
2023-06-01,20.82066
2023-07-01,20.19969
2023-08-01,20.29806
2023-09-01,20.76009
2023-10-01,20.88978
2023-11-01,20.61139
2023-12-01,19.99289
