Date,Portugal
2003-05-01,603.75471
2003-06-01,598.57985
2003-07-01,614.49765
2003-08-01,626.55862
2003-09-01,620.68468
2003-10-01,597.04964
2003-11-01,596.16411
2003-12-01,568.00802
2004-01-01,553.78555
2004-02-01,552.85956
2004-03-01,569.69937
2004-04-01,582.26333
2004-05-01,581.49686
2004-06-01,575.03952
2004-07-01,569.64121
2004-08-01,573.01885
2004-09-01,571.35052
2004-10-01,559.60062
2004-11-01,537.45055
2004-12-01,520.73334
2005-01-01,532.86878
2005-02-01,536.25097
2005-03-01,530.07716
2005-04-01,539.76353
2005-05-01,550.82349
2005-06-01,574.62039
2005-07-01,579.76064
2005-08-01,568.20444
2005-09-01,570.50990
2005-10-01,580.69923
2005-11-01,592.31239
2005-12-01,589.01404
2006-01-01,576.47358
2006-02-01,585.08634
2006-03-01,580.63467
2006-04-01,568.76482
2006-05-01,546.90708
2006-06-01,551.68964
2006-07-01,550.34847
2006-08-01,545.29692
2006-09-01,548.61346
2006-10-01,553.45545
2006-11-01,541.94705
2006-12-01,529.27792
2007-01-01,537.33632
2007-02-01,533.81579
2007-03-01,527.24413
2007-04-01,517.07213
2007-05-01,517.04572
2007-06-01,520.45146
2007-07-01,509.22831
2007-08-01,512.88191
2007-09-01,502.15998
2007-10-01,490.93346
2007-11-01,475.53807
2007-12-01,479.75271
2008-01-01,474.78802
2008-02-01,474.06358
2008-03-01,449.94119
2008-04-01,443.65091
2008-05-01,448.85693
2008-06-01,449.10793
2008-07-01,443.31263
2008-08-01,467.33704
2008-09-01,486.92849
2008-10-01,526.25910
2008-11-01,549.13848
2008-12-01,520.25300
2009-01-01,529.71850
2009-02-01,545.33133
2009-03-01,535.70072
2009-04-01,529.09614
2009-05-01,511.31309
2009-06-01,498.47061
2009-07-01,495.85653
2009-08-01,489.69098
2009-09-01,479.53009
2009-10-01,471.52840
2009-11-01,468.19859
2009-12-01,479.45554
2010-01-01,489.09221
2010-02-01,510.54301
2010-03-01,514.83916
2010-04-01,521.50723
2010-05-01,555.65505
2010-06-01,572.08937
2010-07-01,546.30614
2010-08-01,541.67023
2010-09-01,533.63679
2010-10-01,502.96363
2010-11-01,512.36244
2010-12-01,528.65851
2011-01-01,522.80940
2011-02-01,511.52099
2011-03-01,498.46854
2011-04-01,483.20434
2011-05-01,487.91282
2011-06-01,484.92806
2011-07-01,489.02568
2011-08-01,487.35232
2011-09-01,507.85355
2011-10-01,509.15088
2011-11-01,514.93441
2011-12-01,531.35059
2012-01-01,541.38446
2012-02-01,527.74589
2012-03-01,528.90563
2012-04-01,530.87279
2012-05-01,546.12252
2012-06-01,557.25176
2012-07-01,568.69183
2012-08-01,563.16133
2012-09-01,542.88636
2012-10-01,538.31687
2012-11-01,544.33746
2012-12-01,532.13685
2013-01-01,525.31757
2013-02-01,523.60609
2013-03-01,539.32204
2013-04-01,536.33577
2013-05-01,538.39063
2013-06-01,529.91829
2013-07-01,534.14889
2013-08-01,524.66473
2013-09-01,523.30305
2013-10-01,512.04886
2013-11-01,517.88455
2013-12-01,509.74824
2014-01-01,512.80179
2014-02-01,511.16892
2014-03-01,505.17440
2014-04-01,505.82010
2014-05-01,508.62768
2014-06-01,513.84387
2014-07-01,516.13635
2014-08-01,524.56312
2014-09-01,541.51687
2014-10-01,551.19529
2014-11-01,559.80410
2014-12-01,567.36818
2015-01-01,600.69416
2015-02-01,615.12661
2015-03-01,645.80022
2015-04-01,645.94882
2015-05-01,625.99212
2015-06-01,622.80709
2015-07-01,634.83972
2015-08-01,627.56222
2015-09-01,622.71692
2015-10-01,621.94501
2015-11-01,651.59636
2015-12-01,641.59389
2016-01-01,643.91020
2016-02-01,629.89375
2016-03-01,627.67249
2016-04-01,616.00304
2016-05-01,617.95242
2016-06-01,621.91548
2016-07-01,631.71633
2016-08-01,623.29069
2016-09-01,623.05921
2016-10-01,634.06748
2016-11-01,648.03402
2016-12-01,662.83017
2017-01-01,657.16897
2017-02-01,656.20267
2017-03-01,653.37587
2017-04-01,651.99839
2017-05-01,631.82862
2017-06-01,621.72464
2017-07-01,606.46636
2017-08-01,591.43420
2017-09-01,586.43197
2017-10-01,594.25660
2017-11-01,594.99613
2017-12-01,590.49294
2018-01-01,572.76866
2018-02-01,566.03736
2018-03-01,566.55645
2018-04-01,569.29395
2018-05-01,591.77649
2018-06-01,598.22168
2018-07-01,597.82307
2018-08-01,604.85780
2018-09-01,598.71114
2018-10-01,608.28621
2018-11-01,614.69998
2018-12-01,613.85713
2019-01-01,611.74804
2019-02-01,615.69244
2019-03-01,618.37748
2019-04-01,621.71766
2019-05-01,624.44088
2019-06-01,618.46818
2019-07-01,622.90678
2019-08-01,627.92278
2019-09-01,634.58342
2019-10-01,631.95071
2019-11-01,632.21064
2019-12-01,628.67659
2020-01-01,629.21630
2020-02-01,640.54164
2020-03-01,632.79143
2020-04-01,642.51508
2020-05-01,640.52318
2020-06-01,620.41008
2020-07-01,608.87179
2020-08-01,590.53152
2020-09-01,592.78423
2020-10-01,593.49454
2020-11-01,590.36719
2020-12-01,574.14452
2021-01-01,574.02387
2021-02-01,577.53078
2021-03-01,587.11497
2021-04-01,584.01888
2021-05-01,574.87445
2021-06-01,579.81386
2021-07-01,590.76190
2021-08-01,593.64632
2021-09-01,593.51518
2021-10-01,602.16489
2021-11-01,612.46268
2021-12-01,618.11557
2022-01-01,617.09911
2022-02-01,615.78675
2022-03-01,633.81435
2022-04-01,646.77397
2022-05-01,660.37632
2022-06-01,661.19300
2022-07-01,686.15682
2022-08-01,689.53033
2022-09-01,705.84658
2022-10-01,709.92684
2022-11-01,684.65416
2022-12-01,659.83049
2023-01-01,648.62970
2023-02-01,652.61067
2023-03-01,652.21535
2023-04-01,637.12393
2023-05-01,643.46481
2023-06-01,644.37452
2023-07-01,631.88232
2023-08-01,640.36655
2023-09-01,654.38728
2023-10-01,661.56133
2023-11-01,645.92278
2023-12-01,640.10305
