Date,Germany
2013-07-01,35.85487
2013-08-01,35.21824
2013-09-01,35.12684
2013-10-01,34.37140
2013-11-01,34.76312
2013-12-01,34.21697
2014-01-01,34.42194
2014-02-01,34.31233
2014-03-01,33.90995
2014-04-01,33.95329
2014-05-01,34.14175
2014-06-01,34.49189
2014-07-01,34.64577
2014-08-01,35.21142
2014-09-01,36.34944
2014-10-01,36.99911
2014-11-01,37.57698
2014-12-01,38.08472
2015-01-01,40.32173
2015-02-01,41.29052
2015-03-01,43.34949
2015-04-01,43.35946
2015-05-01,42.01987
2015-06-01,41.80607
2015-07-01,42.61376
2015-08-01,42.12526
2015-09-01,41.80002
2015-10-01,41.74820
2015-11-01,43.73856
2015-12-01,43.06714
2016-01-01,43.22262
2016-02-01,42.28176
2016-03-01,42.13266
2016-04-01,41.34935
2016-05-01,41.48020
2016-06-01,41.74622
2016-07-01,42.40410
2016-08-01,41.83853
2016-09-01,41.82299
2016-10-01,42.56193
2016-11-01,43.49943
2016-12-01,44.49263
2017-01-01,44.11262
2017-02-01,44.04776
2017-03-01,43.85801
2017-04-01,43.76554
2017-05-01,42.41164
2017-06-01,41.73341
2017-07-01,40.70919
2017-08-01,39.70016
2017-09-01,39.36438
2017-10-01,39.88961
2017-11-01,39.93925
2017-12-01,39.63697
2018-01-01,38.44723
2018-02-01,37.99539
2018-03-01,38.03023
2018-04-01,38.21399
2018-05-01,39.72313
2018-06-01,40.15577
2018-07-01,40.12901
2018-08-01,40.60122
2018-09-01,40.18862
2018-10-01,40.83135
2018-11-01,41.26188
2018-12-01,41.20530
2019-01-01,41.06373
2019-02-01,41.32850
2019-03-01,41.50873
2019-04-01,41.73294
2019-05-01,41.91574
2019-06-01,41.51482
2019-07-01,41.81276
2019-08-01,42.14946
2019-09-01,42.59656
2019-10-01,42.41984
2019-11-01,42.43729
2019-12-01,42.20006
2020-01-01,42.23629
2020-02-01,42.99651
2020-03-01,42.47627
2020-04-01,43.12897
2020-05-01,42.99527
2020-06-01,41.64517
2020-07-01,40.87066
2020-08-01,39.63956
2020-09-01,39.79078
2020-10-01,39.83846
2020-11-01,39.62853
2020-12-01,38.53958
2021-01-01,38.53148
2021-02-01,38.76689
2021-03-01,39.41023
2021-04-01,39.20240
2021-05-01,38.58858
2021-06-01,38.92014
2021-07-01,39.65503
2021-08-01,39.84865
2021-09-01,39.83984
2021-10-01,40.42046
2021-11-01,41.11170
2021-12-01,41.49115
2022-01-01,41.42292
2022-02-01,41.33483
2022-03-01,42.54493
2022-04-01,43.41485
2022-05-01,44.32791
2022-06-01,44.38273
2022-07-01,46.05843
2022-08-01,46.28488
2022-09-01,47.38011
2022-10-01,47.65400
2022-11-01,45.95757
2022-12-01,44.29127
2023-01-01,43.53942
2023-02-01,43.80664
2023-03-01,43.78011
2023-04-01,42.76709
2023-05-01,43.19272
2023-06-01,43.25379
2023-07-01,42.41525
2023-08-01,42.98475
2023-09-01,43.92590
2023-10-01,44.40746
2023-11-01,43.35772
2023-12-01,42.96706
