Date,Norway
1989-03-01,94.99430
1989-04-01,94.98086
1989-05-01,98.44314
1989-06-01,100.46902
1989-07-01,97.18855
1989-08-01,98.48510
1989-09-01,99.47825
1989-10-01,97.12872
1989-11-01,96.41880
1989-12-01,93.59183
1990-01-01,91.47637
1990-02-01,90.48521
1990-03-01,92.13933
1990-04-01,91.59503
1990-05-01,90.11239
1990-06-01,90.52481
1990-07-01,88.12423
1990-08-01,85.08205
1990-09-01,84.93235
1990-10-01,82.75154
1990-11-01,81.19709
1990-12-01,81.84277
1991-01-01,82.56704
1991-02-01,80.96439
1991-03-01,87.45273
1991-04-01,92.48978
1991-05-01,93.44009
1991-06-01,97.40404
1991-07-01,97.55162
1991-08-01,95.35430
1991-09-01,92.87370
1991-10-01,92.62130
1991-11-01,89.22938
1991-12-01,86.18534
1992-01-01,86.70272
1992-02-01,88.78536
1992-03-01,91.12554
1992-04-01,90.30812
1992-05-01,88.41963
1992-06-01,86.04521
1992-07-01,82.08980
1992-08-01,80.06864
1992-09-01,81.01102
1992-10-01,84.52176
1992-11-01,90.49636
1992-12-01,93.33951
1993-01-01,96.15028
1993-02-01,97.61703
1993-03-01,97.96886
1993-04-01,94.73591
1993-05-01,95.03078
1993-06-01,97.68254
1993-07-01,102.15309
1993-08-01,102.92564
1993-09-01,99.02382
1993-10-01,100.20969
1993-11-01,103.30051
1993-12-01,103.78573
1994-01-01,105.02846
1994-02-01,104.82503
1994-03-01,102.74449
1994-04-01,103.00009
1994-05-01,100.48640
1994-06-01,98.82765
1994-07-01,95.85090
1994-08-01,95.97064
1994-09-01,95.13402
1994-10-01,92.46194
1994-11-01,94.01621
1994-12-01,95.88340
1995-01-01,93.72399
1995-02-01,92.17833
1995-03-01,87.74053
1995-04-01,86.69921
1995-05-01,87.96536
1995-06-01,87.15870
1995-07-01,86.34584
1995-08-01,88.65813
1995-09-01,89.53601
1995-10-01,87.24833
1995-11-01,87.37273
1995-12-01,88.87841
1996-01-01,89.75260
1996-02-01,89.56491
1996-03-01,89.89316
1996-04-01,90.79833
1996-05-01,92.10037
1996-06-01,91.35049
1996-07-01,90.24409
1996-08-01,89.67657
1996-09-01,90.31125
1996-10-01,90.63895
1996-11-01,88.88618
1996-12-01,90.45566
1997-01-01,90.19865
1997-02-01,92.60368
1997-03-01,95.01167
1997-04-01,97.49241
1997-05-01,98.76785
1997-06-01,100.91314
1997-07-01,104.18136
1997-08-01,106.54610
1997-09-01,102.18238
1997-10-01,98.87666
1997-11-01,98.70640
1997-12-01,101.39556
1998-01-01,104.84905
1998-02-01,105.60344
1998-03-01,106.05942
1998-04-01,105.33416
1998-05-01,104.11578
1998-06-01,105.83483
1998-07-01,106.56118
1998-08-01,107.70592
1998-09-01,105.85320
1998-10-01,103.88043
1998-11-01,104.11131
1998-12-01,106.33454
1999-01-01,104.25438
1999-02-01,107.93614
1999-03-01,109.25475
1999-04-01,108.70126
1999-05-01,108.34510
1999-06-01,109.99295
1999-07-01,110.52972
1999-08-01,108.90467
1999-09-01,109.56101
1999-10-01,108.21716
1999-11-01,110.86426
1999-12-01,111.91460
2000-01-01,112.02857
2000-02-01,115.18277
2000-03-01,117.57655
2000-04-01,120.42348
2000-05-01,126.64661
2000-06-01,121.15724
2000-07-01,121.63857
2000-08-01,125.23224
2000-09-01,128.88713
2000-10-01,130.97007
2000-11-01,130.51181
2000-12-01,126.00468
2001-01-01,122.71110
2001-02-01,124.62464
2001-03-01,125.47682
2001-04-01,126.99713
2001-05-01,127.91475
2001-06-01,130.01925
2001-07-01,129.50406
2001-08-01,125.10358
2001-09-01,122.61360
2001-10-01,123.44362
2001-11-01,124.70536
2001-12-01,125.31218
2002-01-01,125.32172
2002-02-01,125.12593
2002-03-01,123.23786
2002-04-01,120.46467
2002-05-01,114.77517
2002-06-01,108.40421
2002-07-01,104.46191
2002-08-01,106.27676
2002-09-01,104.89587
2002-10-01,104.61751
2002-11-01,102.26010
2002-12-01,100.29392
2003-01-01,96.53093
2003-02-01,97.83163
2003-03-01,101.56178
2003-04-01,100.82630
2003-05-01,95.22581
2003-06-01,97.87107
2003-07-01,101.90697
2003-08-01,103.73158
2003-09-01,102.09613
2003-10-01,98.39449
2003-11-01,97.98931
2003-12-01,93.78412
2004-01-01,95.18395
2004-02-01,96.96288
2004-03-01,97.43761
2004-04-01,96.80415
2004-05-01,95.54803
2004-06-01,95.33121
2004-07-01,96.66926
2004-08-01,95.66367
2004-09-01,95.72705
2004-10-01,92.17298
2004-11-01,87.68262
2004-12-01,85.81072
2005-01-01,87.46756
2005-02-01,89.29225
2005-03-01,86.88562
2005-04-01,88.35701
2005-05-01,88.96200
2005-06-01,90.75449
2005-07-01,92.01409
2005-08-01,90.02355
2005-09-01,89.14978
2005-10-01,91.17485
2005-11-01,92.81989
2005-12-01,94.09551
2006-01-01,92.77138
2006-02-01,94.43859
2006-03-01,92.76370
2006-04-01,89.36972
2006-05-01,85.37597
2006-06-01,86.81695
2006-07-01,87.56673
2006-08-01,87.37522
2006-09-01,90.85986
2006-10-01,93.15152
2006-11-01,89.45948
2006-12-01,86.57912
2007-01-01,89.01207
2007-02-01,86.46294
2007-03-01,85.84881
2007-04-01,84.10511
2007-05-01,84.26447
2007-06-01,83.90998
2007-07-01,80.90066
2007-08-01,81.82561
2007-09-01,78.71875
2007-10-01,75.60958
2007-11-01,75.64803
2007-12-01,76.85945
2008-01-01,75.63998
2008-02-01,75.45039
2008-03-01,71.99943
2008-04-01,70.74247
2008-05-01,70.76917
2008-06-01,71.88488
2008-07-01,71.43780
2008-08-01,74.56401
2008-09-01,79.52950
2008-10-01,90.69514
2008-11-01,97.01882
2008-12-01,98.08517
2009-01-01,97.51179
2009-02-01,96.00281
2009-03-01,94.84498
2009-04-01,93.03710
2009-05-01,90.07870
2009-06-01,89.35822
2009-07-01,88.88195
2009-08-01,84.87228
2009-09-01,82.53309
2009-10-01,78.93259
2009-11-01,78.91401
2009-12-01,80.63688
2010-01-01,80.19863
2010-02-01,82.69119
2010-03-01,82.78389
2010-04-01,82.83314
2010-05-01,88.03622
2010-06-01,90.57828
2010-07-01,87.74823
2010-08-01,86.00010
2010-09-01,84.43950
2010-10-01,81.62710
2010-11-01,83.44403
2010-12-01,83.56218
2011-01-01,81.84753
2011-02-01,80.08229
2011-03-01,78.18221
2011-04-01,75.50433
2011-05-01,76.57358
2011-06-01,76.02562
2011-07-01,76.17628
2011-08-01,76.03582
2011-09-01,78.60649
2011-10-01,78.93265
2011-11-01,80.20777
2011-12-01,82.38498
2012-01-01,83.15988
2012-02-01,79.81371
2012-03-01,79.70431
2012-04-01,80.40840
2012-05-01,82.75166
2012-06-01,84.11842
2012-07-01,84.82791
2012-08-01,82.51027
2012-09-01,80.39136
2012-10-01,79.78623
2012-11-01,79.94587
2012-12-01,78.44185
2013-01-01,77.63497
2013-02-01,77.83490
2013-03-01,80.81730
2013-04-01,81.02272
2013-05-01,81.42398
2013-06-01,82.07830
2013-07-01,84.30466
2013-08-01,83.41510
2013-09-01,83.53745
2013-10-01,83.29677
2013-11-01,85.04876
2013-12-01,85.78257
2014-01-01,86.20668
2014-02-01,85.56685
2014-03-01,83.88308
2014-04-01,83.49100
2014-05-01,83.03649
2014-06-01,84.53511
2014-07-01,86.64344
2014-08-01,86.66609
2014-09-01,88.67772
2014-10-01,91.74559
2014-11-01,95.21161
2014-12-01,101.91889
2015-01-01,107.34051
2015-02-01,106.20312
2015-03-01,111.58337
2015-04-01,110.68705
2015-05-01,105.44068
2015-06-01,109.19746
2015-07-01,113.65498
2015-08-01,115.27507
2015-09-01,116.00561
2015-10-01,115.65631
2015-11-01,120.59662
2015-12-01,121.71283
2016-01-01,123.48559
2016-02-01,120.56746
2016-03-01,118.68033
2016-04-01,114.97612
2016-05-01,115.03753
2016-06-01,116.18761
2016-07-01,118.38060
2016-08-01,116.04909
2016-09-01,114.71848
2016-10-01,114.17631
2016-11-01,117.63664
2016-12-01,119.82981
2017-01-01,118.58006
2017-02-01,116.43405
2017-03-01,119.00241
2017-04-01,119.99848
2017-05-01,119.00083
2017-06-01,118.32134
2017-07-01,114.21367
2017-08-01,110.40188
2017-09-01,109.48807
2017-10-01,111.80134
2017-11-01,114.47190
2017-12-01,116.32641
2018-01-01,110.78951
2018-02-01,109.54056
2018-03-01,108.61581
2018-04-01,109.56060
2018-05-01,113.24424
2018-06-01,113.46614
2018-07-01,113.66497
2018-08-01,116.45313
2018-09-01,115.40902
2018-10-01,115.44493
2018-11-01,118.44962
2018-12-01,120.54734
2019-01-01,119.68360
2019-02-01,120.05861
2019-03-01,120.24893
2019-04-01,119.61050
2019-05-01,122.15913
2019-06-01,120.72500
2019-07-01,120.41149
2019-08-01,125.37206
2019-09-01,126.08107
2019-10-01,128.00468
2019-11-01,127.92796
2019-12-01,126.29018
2020-01-01,125.12559
2020-02-01,129.94810
2020-03-01,142.92889
2020-04-01,145.77319
2020-05-01,141.09523
2020-06-01,133.32501
2020-07-01,130.01554
2020-08-01,125.09586
2020-09-01,127.83101
2020-10-01,129.72057
2020-11-01,126.95653
2020-12-01,121.90831
2021-01-01,119.12594
2021-02-01,118.82863
2021-03-01,119.25803
2021-04-01,117.36565
2021-05-01,116.09299
2021-06-01,117.78101
2021-07-01,122.75878
2021-08-01,123.78909
2021-09-01,121.02794
2021-10-01,118.30954
2021-11-01,122.14039
2021-12-01,125.34680
2022-01-01,123.69703
2022-02-01,123.97875
2022-03-01,123.58055
2022-04-01,124.42052
2022-05-01,134.25133
2022-06-01,136.33478
2022-07-01,139.90924
2022-08-01,135.74993
2022-09-01,143.67442
2022-10-01,147.92624
2022-11-01,141.74519
2022-12-01,137.97108
2023-01-01,139.15873
2023-02-01,142.97058
2023-03-01,147.43713
2023-04-01,146.74961
2023-05-01,150.69211
2023-06-01,151.17629
2023-07-01,143.54813
2023-08-01,146.32344
2023-09-01,149.91510
2023-10-01,153.95975
2023-11-01,152.66112
2023-12-01,147.50043
