Date,Italy
1988-02-01,201.33839
1988-03-01,199.86418
1988-04-01,200.08127
1988-05-01,202.71718
1988-06-01,209.47181
1988-07-01,219.99515
1988-08-01,225.05604
1988-09-01,224.06238
1988-10-01,218.54973
1988-11-01,209.85262
1988-12-01,208.48823
1989-01-01,216.34295
1989-02-01,218.42927
1989-03-01,220.70378
1989-04-01,220.79822
1989-05-01,228.32998
1989-06-01,231.26187
1989-07-01,220.59185
1989-08-01,222.64270
1989-09-01,226.26710
1989-10-01,220.15543
1989-11-01,216.31577
1989-12-01,208.26144
1990-01-01,203.25775
1990-02-01,200.32002
1990-03-01,202.43005
1990-04-01,199.66370
1990-05-01,196.66480
1990-06-01,199.24056
1990-07-01,193.47005
1990-08-01,186.55985
1990-09-01,188.61432
1990-10-01,183.88896
1990-11-01,179.71511
1990-12-01,181.43599
1991-01-01,182.80161
1991-02-01,178.87261
1991-03-01,193.11720
1991-04-01,203.01191
1991-05-01,205.37672
1991-06-01,213.73918
1991-07-01,214.51571
1991-08-01,209.96738
1991-09-01,204.45812
1991-10-01,203.47950
1991-11-01,196.69572
1991-12-01,190.89207
1992-01-01,191.72264
1992-02-01,195.86013
1992-03-01,201.20317
1992-04-01,199.90258
1992-05-01,196.50413
1992-06-01,191.74844
1992-07-01,181.94794
1992-08-01,177.50825
1992-09-01,186.58725
1992-10-01,210.64223
1992-11-01,219.58208
1992-12-01,227.06724
1993-01-01,239.90797
1993-02-01,249.34682
1993-03-01,256.79940
1993-04-01,246.93528
1993-05-01,237.64566
1993-06-01,241.71934
1993-07-01,254.84808
1993-08-01,258.41840
1993-09-01,252.60219
1993-10-01,257.72789
1993-11-01,268.57607
1993-12-01,271.91653
1994-01-01,273.85899
1994-02-01,271.52449
1994-03-01,268.48605
1994-04-01,261.76050
1994-05-01,256.80027
1994-06-01,256.57444
1994-07-01,251.86810
1994-08-01,254.86470
1994-09-01,252.35419
1994-10-01,249.36363
1994-11-01,255.17573
1994-12-01,263.03528
1995-01-01,259.21783
1995-02-01,260.64081
1995-03-01,272.14138
1995-04-01,275.81072
1995-05-01,266.01605
1995-06-01,263.87498
1995-07-01,259.16270
1995-08-01,258.54638
1995-09-01,260.03410
1995-10-01,258.51265
1995-11-01,256.61906
1995-12-01,256.71871
1996-01-01,254.99445
1996-02-01,253.19643
1996-03-01,251.92675
1996-04-01,252.05251
1996-05-01,250.84131
1996-06-01,248.30982
1996-07-01,245.80130
1996-08-01,244.18434
1996-09-01,244.75581
1996-10-01,245.45774
1996-11-01,243.63358
1996-12-01,246.00747
1997-01-01,252.45292
1997-02-01,266.67015
1997-03-01,272.40373
1997-04-01,272.73441
1997-05-01,270.87647
1997-06-01,272.92817
1997-07-01,280.68419
1997-08-01,289.77256
1997-09-01,281.02212
1997-10-01,276.60536
1997-11-01,272.95203
1997-12-01,280.63302
1998-01-01,287.69681
1998-02-01,287.85013
1998-03-01,289.27368
1998-04-01,288.60783
1998-05-01,281.62214
1998-06-01,284.03437
1998-07-01,285.35823
1998-08-01,284.25164
1998-09-01,270.85425
1998-10-01,260.94010
1998-11-01,268.24227
1998-12-01,265.98427
1999-01-01,268.57166
1999-02-01,278.19000
1999-03-01,286.39174
1999-04-01,291.27102
1999-05-01,293.31954
1999-06-01,300.40423
1999-07-01,301.21054
1999-08-01,294.14725
1999-09-01,296.45790
1999-10-01,291.15247
1999-11-01,301.85455
1999-12-01,308.07438
2000-01-01,307.56206
2000-02-01,316.67471
2000-03-01,323.04590
2000-04-01,329.66654
2000-05-01,343.50832
2000-06-01,328.25659
2000-07-01,332.13065
2000-08-01,344.76458
2000-09-01,358.00082
2000-10-01,365.24717
2000-11-01,364.05510
2000-12-01,346.29494
2001-01-01,332.03681
2001-02-01,338.35624
2001-03-01,343.22951
2001-04-01,348.79750
2001-05-01,356.47150
2001-06-01,365.00998
2001-07-01,361.90860
2001-08-01,345.59240
2001-09-01,341.61389
2001-10-01,344.11323
2001-11-01,350.93232
2001-12-01,349.11392
2002-01-01,353.17304
2002-02-01,358.04080
2002-03-01,355.62067
2002-04-01,351.54411
2002-05-01,339.52180
2002-06-01,325.90194
2002-07-01,314.34228
2002-08-01,318.74325
2002-09-01,317.64088
2002-10-01,317.52462
2002-11-01,311.23803
2002-12-01,306.01924
2003-01-01,293.16274
2003-02-01,289.16810
2003-03-01,288.83626
2003-04-01,286.78074
2003-05-01,269.43143
2003-06-01,267.12209
2003-07-01,274.22557
2003-08-01,279.60790
2003-09-01,276.98659
2003-10-01,266.43922
2003-11-01,266.04405
2003-12-01,253.47912
2004-01-01,247.13220
2004-02-01,246.71897
2004-03-01,254.23390
2004-04-01,259.84069
2004-05-01,259.49865
2004-06-01,256.61699
2004-07-01,254.20795
2004-08-01,255.71525
2004-09-01,254.97074
2004-10-01,249.72724
2004-11-01,239.84255
2004-12-01,232.38233
2005-01-01,237.79789
2005-02-01,239.30723
2005-03-01,236.55210
2005-04-01,240.87474
2005-05-01,245.81036
2005-06-01,256.42995
2005-07-01,258.72384
2005-08-01,253.56677
2005-09-01,254.59561
2005-10-01,259.14270
2005-11-01,264.32518
2005-12-01,262.85326
2006-01-01,257.25696
2006-02-01,261.10048
2006-03-01,259.11388
2006-04-01,253.81685
2006-05-01,244.06262
2006-06-01,246.19688
2006-07-01,245.59837
2006-08-01,243.34407
2006-09-01,244.82410
2006-10-01,246.98489
2006-11-01,241.84916
2006-12-01,236.19543
2007-01-01,239.79157
2007-02-01,238.22050
2007-03-01,235.28784
2007-04-01,230.74848
2007-05-01,230.73669
2007-06-01,232.25654
2007-07-01,227.24810
2007-08-01,228.87855
2007-09-01,224.09379
2007-10-01,219.08385
2007-11-01,212.21350
2007-12-01,214.09433
2008-01-01,211.87878
2008-02-01,211.55549
2008-03-01,200.79065
2008-04-01,197.98354
2008-05-01,200.30678
2008-06-01,200.41879
2008-07-01,197.83258
2008-08-01,208.55371
2008-09-01,217.29658
2008-10-01,234.84826
2008-11-01,245.05840
2008-12-01,232.16797
2009-01-01,236.39204
2009-02-01,243.35942
2009-03-01,239.06167
2009-04-01,236.11431
2009-05-01,228.17845
2009-06-01,222.44737
2009-07-01,221.28081
2009-08-01,218.52937
2009-09-01,213.99498
2009-10-01,210.42415
2009-11-01,208.93819
2009-12-01,213.96171
2010-01-01,218.26217
2010-02-01,227.83480
2010-03-01,229.75199
2010-04-01,232.72769
2010-05-01,247.96649
2010-06-01,255.30046
2010-07-01,243.79444
2010-08-01,241.72562
2010-09-01,238.14062
2010-10-01,224.45242
2010-11-01,228.64674
2010-12-01,235.91901
2011-01-01,233.30879
2011-02-01,228.27123
2011-03-01,222.44645
2011-04-01,215.63465
2011-05-01,217.73585
2011-06-01,216.40388
2011-07-01,218.23248
2011-08-01,217.48572
2011-09-01,226.63460
2011-10-01,227.21354
2011-11-01,229.79450
2011-12-01,237.12038
2012-01-01,241.59809
2012-02-01,235.51175
2012-03-01,236.02929
2012-04-01,236.90716
2012-05-01,243.71250
2012-06-01,248.67903
2012-07-01,253.78427
2012-08-01,251.31623
2012-09-01,242.26833
2012-10-01,240.22915
2012-11-01,242.91590
2012-12-01,237.47126
2013-01-01,234.42809
2013-02-01,233.66432
2013-03-01,240.67772
2013-04-01,239.34507
2013-05-01,240.26207
2013-06-01,236.48120
2013-07-01,238.36915
2013-08-01,234.13675
2013-09-01,233.52909
2013-10-01,228.50680
2013-11-01,231.11103
2013-12-01,227.48012
2014-01-01,228.84280
2014-02-01,228.11411
2014-03-01,225.43900
2014-04-01,225.72715
2014-05-01,226.98006
2014-06-01,229.30784
2014-07-01,230.33088
2014-08-01,234.09141
2014-09-01,241.65718
2014-10-01,245.97627
2014-11-01,249.81804
2014-12-01,253.19358
2015-01-01,268.06563
2015-02-01,274.50625
2015-03-01,288.19464
2015-04-01,288.26096
2015-05-01,279.35509
2015-06-01,277.93374
2015-07-01,283.30341
2015-08-01,280.05576
2015-09-01,277.89350
2015-10-01,277.54902
2015-11-01,290.78123
2015-12-01,286.31753
2016-01-01,287.35121
2016-02-01,281.09623
2016-03-01,280.10497
2016-04-01,274.89736
2016-05-01,275.76729
2016-06-01,277.53585
2016-07-01,281.90957
2016-08-01,278.14955
2016-09-01,278.04625
2016-10-01,282.95880
2016-11-01,289.19150
2016-12-01,295.79443
2017-01-01,293.26806
2017-02-01,292.83684
2017-03-01,291.57535
2017-04-01,290.96064
2017-05-01,281.95968
2017-06-01,277.45068
2017-07-01,270.64153
2017-08-01,263.93328
2017-09-01,261.70099
2017-10-01,265.19280
2017-11-01,265.52282
2017-12-01,263.51323
2018-01-01,255.60360
2018-02-01,252.59969
2018-03-01,252.83134
2018-04-01,254.05298
2018-05-01,264.08603
2018-06-01,266.96226
2018-07-01,266.78438
2018-08-01,269.92369
2018-09-01,267.18068
2018-10-01,271.45365
2018-11-01,274.31586
2018-12-01,273.93973
2019-01-01,272.99853
2019-02-01,274.75876
2019-03-01,275.95698
2019-04-01,277.44757
2019-05-01,278.66283
2019-06-01,275.99745
2019-07-01,277.97823
2019-08-01,280.21666
2019-09-01,283.18904
2019-10-01,282.01417
2019-11-01,282.13016
2019-12-01,280.55306
2020-01-01,280.79391
2020-02-01,285.84795
2020-03-01,282.38935
2020-04-01,286.72862
2020-05-01,285.83972
2020-06-01,276.86405
2020-07-01,271.71497
2020-08-01,263.53045
2020-09-01,264.53574
2020-10-01,264.85273
2020-11-01,263.45712
2020-12-01,256.21759
2021-01-01,256.16375
2021-02-01,257.72874
2021-03-01,262.00578
2021-04-01,260.62412
2021-05-01,256.54333
2021-06-01,258.74759
2021-07-01,263.63326
2021-08-01,264.92046
2021-09-01,264.86194
2021-10-01,268.72195
2021-11-01,273.31744
2021-12-01,275.84010
2022-01-01,275.38650
2022-02-01,274.80084
2022-03-01,282.84584
2022-04-01,288.62919
2022-05-01,294.69937
2022-06-01,295.06382
2022-07-01,306.20417
2022-08-01,307.70963
2022-09-01,314.99092
2022-10-01,316.81177
2022-11-01,305.53359
2022-12-01,294.45579
2023-01-01,289.45733
2023-02-01,291.23388
2023-03-01,291.05746
2023-04-01,284.32277
2023-05-01,287.15245
2023-06-01,287.55841
2023-07-01,281.98365
2023-08-01,285.76982
2023-09-01,292.02670
2023-10-01,295.22819
2023-11-01,288.24934
2023-12-01,285.65223
