DATE,CCRETT01FIM661N_NBD19700101
2014-04-01,83.90207
2014-05-01,82.99870
2014-06-01,82.49227
2014-07-01,82.45959
2014-08-01,82.65553
2014-09-01,82.73335
2014-10-01,83.06398
2014-11-01,84.36327
2014-12-01,86.89547
2015-01-01,86.24487
2015-02-01,85.11686
2015-03-01,82.59438
2015-04-01,80.84839
2015-05-01,80.75851
2015-06-01,81.97396
2015-07-01,81.96250
2015-08-01,84.59553
2015-09-01,85.11993
2015-10-01,84.35039
2015-11-01,83.31644
2015-12-01,84.69735
2016-01-01,85.72723
2016-02-01,86.22405
2016-03-01,84.92477
2016-04-01,84.68185
2016-05-01,84.48710
2016-06-01,84.25850
2016-07-01,84.01957
2016-08-01,84.40814
2016-09-01,84.54114
2016-10-01,84.16991
2016-11-01,84.38609
2016-12-01,83.34497
2017-01-01,82.47759
2017-02-01,82.05051
2017-03-01,82.08453
2017-04-01,81.82242
2017-05-01,82.60760
2017-06-01,83.12721
2017-07-01,83.22323
2017-08-01,83.80611
2017-09-01,83.63765
2017-10-01,83.51783
2017-11-01,84.20627
2017-12-01,84.15235
2018-01-01,83.95567
2018-02-01,84.15088
2018-03-01,84.52974
2018-04-01,85.26235
2018-05-01,84.68379
2018-06-01,84.63383
2018-07-01,84.55870
2018-08-01,85.32178
2018-09-01,85.85186
2018-10-01,85.09621
2018-11-01,85.01081
2018-12-01,85.00182
2019-01-01,84.60884
2019-02-01,84.47966
2019-03-01,84.00934
2019-04-01,83.76121
2019-05-01,83.96309
2019-06-01,83.88617
2019-07-01,82.92909
2019-08-01,84.12941
2019-09-01,83.68820
2019-10-01,83.65190
2019-11-01,83.27764
2019-12-01,82.84834
2020-01-01,82.56416
2020-02-01,82.72566
2020-03-01,85.56733
2020-04-01,85.28495
2020-05-01,84.56475
2020-06-01,84.20910
2020-07-01,85.04900
2020-08-01,85.90670
2020-09-01,86.40714
2020-10-01,86.59492
2020-11-01,86.09910
2020-12-01,85.88455
2021-01-01,85.61098
2021-02-01,85.30630
2021-03-01,85.23196
2021-04-01,85.50015
2021-05-01,85.22702
2021-06-01,84.53429
2021-07-01,84.57246
2021-08-01,84.36324
2021-09-01,84.16035
2021-10-01,83.57881
2021-11-01,83.35194
2021-12-01,83.09618
2022-01-01,83.86276
2022-02-01,84.13632
2022-03-01,85.82782
2022-04-01,81.79851
2022-05-01,80.88663
2022-06-01,80.05866
2022-07-01,79.53862
2022-08-01,78.79140
2022-09-01,78.65050
2022-10-01,79.51028
2022-11-01,80.68634
2022-12-01,81.67507
2023-01-01,82.72258
2023-02-01,83.20723
2023-03-01,83.84138
2023-04-01,84.73066
2023-05-01,84.40853
2023-06-01,85.22980
2023-07-01,86.32141
2023-08-01,85.95700
2023-09-01,86.28872
2023-10-01,86.00761
2023-11-01,85.40804
2023-12-01,84.84693
